A01A HHZ  45.93360 -129.99920     0 OO
A02A HHZ  45.93380 -130.01410     0 OO
A03A HHZ  45.95470 -130.00890     0 OO
A04A HHZ  45.94960 -129.97970     0 OO
A05A HHZ  45.93970 -129.97380     0 OO
A06A HHZ  45.93610 -129.97850     0 OO
A07A HHZ  45.92570 -129.97800     0 OO
A08A HHZ  46.01933 -130.00537     0 OO
A09A HHZ  46.00062 -130.02226     0 OO
A10A HHZ  45.99292 -129.99278     0 OO
A11A HHZ  45.98874 -130.04839     0 OO
A12A HHZ  45.97439 -129.97797     0 OO
A13A HHZ  45.98294 -130.01413     0 OO
A14A HHZ  45.96907 -130.02985     0 OO
AAS1 HHZ  45.96415 -130.00450     0 OO
AAS2 HHZ  45.97084 -130.06239     0 OO
ACC1 HHZ  45.96034 -129.94999     0 OO
AEC1 HHZ  45.94959 -130.03398     0 OO
AEC2 HHZ  45.91537 -130.02177     0 OO
AEC3 HHZ  45.90782 -129.97155     0 OO
AID1 HHZ  45.89997 -130.00757     0 OO
