event_id,mech_number,strike,dip,rake,norm_N,norm_E,norm_Z,norm_aux_N,norm_aux_E,norm_aux_Z
2148509,0,290.0,30.0,100.0,-0.4698,-0.171,0.866,0.8608,0.1285,0.4924
2148509,1,121.8,70.0,110.0,0.7989,0.4947,0.342,-0.4533,0.1216,0.883
2148509,2,130.6,60.0,95.0,0.6571,0.5641,0.5,-0.4347,-0.2583,0.8627
2148509,3,294.0,25.0,100.0,-0.3861,-0.1719,0.9063,0.886,0.2044,0.4162
2148509,4,160.6,45.0,140.0,0.235,0.6669,0.7071,-0.8736,-0.1741,0.4545
2148509,5,303.6,55.0,95.0,-0.6826,-0.4528,0.5736,0.5243,0.2432,0.816
2148509,6,162.0,50.0,145.0,0.2367,0.7286,0.6428,-0.893,-0.0975,0.4394
2148509,7,106.6,65.0,100.0,0.8685,0.2592,0.4226,-0.4485,0.0474,0.8925
2148509,8,121.8,70.0,95.0,0.7989,0.4947,0.342,-0.3356,-0.1053,0.9361
2148509,9,100.3,75.0,95.0,0.9504,0.1725,0.2588,-0.2693,0.0397,0.9623
2148509,10,292.9,50.0,105.0,-0.7056,-0.2982,0.6428,0.6727,0.0033,0.7399
2148509,11,109.6,50.0,110.0,0.7215,0.2574,0.6428,-0.6838,0.1191,0.7198
2148509,12,142.3,60.0,150.0,0.5301,0.6848,0.5,-0.8379,0.3324,0.433
2148509,13,132.7,55.0,135.0,0.6019,0.5556,0.5736,-0.7776,0.2445,0.5792
2148509,14,148.1,60.0,125.0,0.4581,0.7349,0.5,-0.7034,-0.0442,0.7094
2148509,15,96.5,50.0,95.0,0.7611,0.0873,0.6428,-0.6461,0.0136,0.7631
2148509,16,129.3,50.0,120.0,0.593,0.4849,0.6428,-0.7474,0.0347,0.6634
2148509,17,148.2,70.0,160.0,0.4947,0.7989,0.342,-0.8605,0.3952,0.3214
2148509,18,130.0,30.0,125.0,0.383,0.3214,0.866,-0.9121,-0.0166,0.4096
2148509,19,317.0,40.0,120.0,-0.4387,-0.4698,0.766,0.8182,0.1436,0.5567
2148509,20,142.3,60.0,135.0,0.5301,0.6848,0.5,-0.7756,0.1532,0.6124
2148509,21,300.7,35.0,115.0,-0.493,-0.2931,0.8192,0.8541,0.0161,0.5198
2148509,22,157.1,55.0,155.0,0.3185,0.7547,0.5736,-0.9292,0.1291,0.3462
2148509,23,330.0,45.0,125.0,-0.3536,-0.6124,0.7071,0.7863,0.2148,0.5792
2148509,24,320.4,20.0,110.0,-0.218,-0.2635,0.9397,0.8264,0.4624,0.3214
2148509,25,312.5,50.0,110.0,-0.5644,-0.518,0.6428,0.6763,0.1564,0.7198
2148509,26,136.5,60.0,120.0,0.5967,0.6277,0.5,-0.6607,0.0306,0.75
2148509,27,145.4,65.0,135.0,0.5148,0.7459,0.4226,-0.7517,0.1557,0.6409
2148509,28,107.4,60.0,95.0,0.8263,0.2593,0.5,-0.5013,-0.066,0.8627
2148509,29,300.7,35.0,120.0,-0.493,-0.2931,0.8192,0.8653,-0.0673,0.4967
2148509,30,325.6,50.0,120.0,-0.4324,-0.6323,0.6428,0.7269,0.1773,0.6634
2148509,31,120.0,30.0,125.0,0.433,0.25,0.866,-0.9012,0.142,0.4096
2148509,32,127.1,70.0,115.0,0.7499,0.5663,0.342,-0.5021,0.1505,0.8517
2148509,33,150.9,65.0,120.0,0.4405,0.7921,0.4226,-0.6149,-0.0769,0.7849
2148509,34,334.1,55.0,135.0,-0.3582,-0.7367,0.5736,0.8133,0.0555,0.5792
2148509,35,312.5,50.0,100.0,-0.5644,-0.518,0.6428,0.5838,0.3001,0.7544
2148509,36,119.0,60.0,110.0,0.7572,0.4203,0.5,-0.5768,0.071,0.8138
2148509,37,148.1,60.0,150.0,0.4581,0.7349,0.5,-0.8672,0.2459,0.433
2148509,38,152.6,40.0,130.0,0.2957,0.5707,0.766,-0.8407,-0.2253,0.4924
2148509,39,153.5,45.0,145.0,0.3152,0.633,0.7071,-0.9141,0.0021,0.4056
2148509,40,132.7,55.0,140.0,0.6019,0.5556,0.5736,-0.7905,0.3128,0.5265
2148509,41,109.6,50.0,115.0,0.7215,0.2574,0.6428,-0.6907,0.2023,0.6943
2148509,42,142.9,70.0,140.0,0.5663,0.7499,0.342,-0.7438,0.2862,0.604
2148509,43,330.0,25.0,140.0,-0.2113,-0.366,0.9063,0.9547,0.1215,0.2717
2148509,44,327.1,35.0,120.0,-0.3118,-0.4814,0.8192,0.8053,0.3237,0.4967
2148509,45,309.1,40.0,110.0,-0.4986,-0.4057,0.766,0.7742,0.189,0.604
2148509,46,100.0,30.0,100.0,0.4924,0.0868,0.866,-0.8701,0.0229,0.4924
2148509,47,145.4,65.0,140.0,0.5148,0.7459,0.4226,-0.7848,0.2116,0.5826
2148509,48,148.1,60.0,120.0,0.4581,0.7349,0.5,-0.6534,-0.103,0.75
2148509,49,316.5,60.0,100.0,-0.5967,-0.6277,0.5,0.4651,0.2373,0.8529
2148509,50,90.0,40.0,110.0,0.6428,0.0,0.766,-0.7198,0.342,0.604
2148509,51,294.0,25.0,110.0,-0.3861,-0.1719,0.9063,0.9171,0.0339,0.3971
2148509,52,142.7,35.0,130.0,0.3477,0.4562,0.8192,-0.8916,-0.1094,0.4394
2148509,53,157.1,55.0,145.0,0.3185,0.7547,0.5736,-0.8826,0.0154,0.4698
2148509,54,280.6,45.0,105.0,-0.6951,-0.1299,0.7071,0.7189,-0.1289,0.683
2148509,55,285.3,55.0,95.0,-0.7903,-0.2155,0.5736,0.5742,0.0663,0.816
2148509,56,300.0,30.0,100.0,-0.433,-0.25,0.866,0.8254,0.2761,0.4924
2148509,57,320.0,30.0,115.0,-0.3214,-0.383,0.866,0.8283,0.3296,0.4532
2148509,58,142.9,70.0,145.0,0.5663,0.7499,0.342,-0.7719,0.3371,0.539
2148509,59,312.5,50.0,105.0,-0.5644,-0.518,0.6428,0.6324,0.2291,0.7399
2148509,60,344.1,45.0,130.0,-0.1935,-0.6801,0.7071,0.7665,0.3451,0.5417
2148509,61,129.1,40.0,110.0,0.4986,0.4057,0.766,-0.7742,-0.189,0.604
2148509,62,148.2,70.0,145.0,0.4947,0.7989,0.342,-0.7997,0.2644,0.539
2148509,63,146.5,45.0,130.0,0.3906,0.5894,0.7071,-0.835,-0.0965,0.5417
2148509,64,150.9,65.0,130.0,0.4405,0.7921,0.4226,-0.7191,0.0294,0.6943
2148509,65,150.9,65.0,110.0,0.4405,0.7921,0.4226,-0.4919,-0.1809,0.8517
2148509,66,137.0,40.0,125.0,0.4387,0.4698,0.766,-0.8475,-0.0671,0.5265
2148509,67,54.9,35.0,125.0,0.4691,-0.33,0.8192,-0.2188,0.8552,0.4698
2148509,68,97.8,40.0,110.0,0.6368,0.0875,0.766,-0.7597,0.2408,0.604
2148509,69,116.2,50.0,120.0,0.6874,0.338,0.6428,-0.7202,0.2031,0.6634
2148509,70,138.8,55.0,100.0,0.5394,0.6165,0.5736,-0.5027,-0.3107,0.8067
2148509,71,318.0,25.0,120.0,-0.2828,-0.3141,0.9063,0.8968,0.2487,0.366
2148509,72,310.6,60.0,115.0,-0.6571,-0.5641,0.5,0.6191,-0.0255,0.7849
2148509,73,344.1,45.0,135.0,-0.1935,-0.6801,0.7071,0.8169,0.2874,0.5
2148509,74,309.7,55.0,115.0,-0.6306,-0.5228,0.5736,0.6699,0.0064,0.7424
2148509,75,162.0,50.0,160.0,0.2367,0.7286,0.6428,-0.9616,0.0813,0.262
2148509,76,97.8,40.0,105.0,0.6368,0.0875,0.766,-0.7683,0.1557,0.6209
2148509,77,324.8,40.0,110.0,-0.3707,-0.5251,0.766,0.6945,0.3909,0.604
2148509,78,123.2,65.0,95.0,0.7581,0.4967,0.4226,-0.3999,-0.1578,0.9029
2148509,79,125.3,45.0,110.0,0.5771,0.4085,0.7071,-0.7399,-0.1048,0.6645
2148509,80,303.6,55.0,105.0,-0.6826,-0.4528,0.5736,0.6048,0.0906,0.7912
2148509,81,340.4,40.0,140.0,-0.2153,-0.6057,0.766,0.8867,0.2074,0.4132
2148509,82,317.0,40.0,125.0,-0.4387,-0.4698,0.766,0.8475,0.0671,0.5265
2148509,83,327.1,35.0,125.0,-0.3118,-0.4814,0.8192,0.8462,0.2514,0.4698
2148509,84,142.9,70.0,160.0,0.5663,0.7499,0.342,-0.8204,0.4729,0.3214
2148509,85,46.1,35.0,125.0,0.4133,-0.3977,0.8192,-0.0857,0.8786,0.4698
2148509,86,111.2,45.0,115.0,0.6594,0.2554,0.7071,-0.7502,0.1626,0.6409
2148509,87,320.0,30.0,120.0,-0.3214,-0.383,0.866,0.8651,0.2531,0.433
2148509,88,142.3,60.0,155.0,0.5301,0.6848,0.5,-0.846,0.3877,0.366
2148509,89,309.1,40.0,95.0,-0.4986,-0.4057,0.766,0.647,0.414,0.6403
2148509,90,144.8,40.0,115.0,0.3707,0.5251,0.766,-0.7456,-0.3235,0.5826
2148509,91,332.6,40.0,135.0,-0.2957,-0.5707,0.766,0.877,0.1556,0.4545
2148509,92,140.0,30.0,130.0,0.3214,0.383,0.866,-0.9188,-0.095,0.383
2148509,93,340.2,55.0,135.0,-0.2779,-0.7706,0.5736,0.8028,0.1417,0.5792
2148509,94,328.2,65.0,125.0,-0.4782,-0.7699,0.4226,0.6699,-0.0086,0.7424
2148509,95,317.0,40.0,130.0,-0.4387,-0.4698,0.766,0.8703,-0.0099,0.4924
2148509,96,103.1,50.0,105.0,0.7461,0.1735,0.6428,-0.6634,0.1115,0.7399
2148509,97,111.2,45.0,95.0,0.6594,0.2554,0.7071,-0.6883,-0.1732,0.7044
2148509,98,136.5,60.0,105.0,0.5967,0.6277,0.5,-0.5203,-0.1717,0.8365
2148509,99,136.5,60.0,140.0,0.5967,0.6277,0.5,-0.7767,0.2948,0.5567
2148509,100,138.8,55.0,120.0,0.5394,0.6165,0.5736,-0.7034,-0.0446,0.7094
2148509,101,145.4,65.0,130.0,0.5148,0.7459,0.4226,-0.7129,0.0987,0.6943
2148509,102,122.7,50.0,100.0,0.6444,0.4142,0.6428,-0.6264,-0.1962,0.7544
2148509,103,151.5,35.0,140.0,0.274,0.5039,0.8192,-0.9245,-0.0966,0.3687
2148509,104,315.8,55.0,115.0,-0.5715,-0.5869,0.5736,0.6654,0.0776,0.7424
2148509,105,157.1,55.0,130.0,0.3185,0.7547,0.5736,-0.7631,-0.1549,0.6275
2148509,106,315.9,45.0,120.0,-0.4922,-0.5076,0.7071,0.7852,0.0916,0.6124
2148509,107,146.5,45.0,150.0,0.3906,0.5894,0.7071,-0.9172,0.1836,0.3536
2148509,108,107.6,35.0,105.0,0.5468,0.1731,0.8192,-0.8325,0.008,0.554
2148509,109,317.0,40.0,105.0,-0.4387,-0.4698,0.766,0.6942,0.3641,0.6209
2148509,110,321.9,55.0,105.0,-0.5058,-0.6443,0.5736,0.5457,0.2759,0.7912
2148509,111,162.0,65.0,135.0,0.2801,0.8619,0.4226,-0.7648,-0.0657,0.6409
2148509,112,163.2,55.0,145.0,0.2365,0.7843,0.5736,-0.8793,-0.0785,0.4698
2148509,113,125.3,45.0,105.0,0.5771,0.4085,0.7071,-0.707,-0.1834,0.683
2148509,114,142.3,60.0,120.0,0.5301,0.6848,0.5,-0.6604,-0.0364,0.75
2148509,115,140.0,30.0,140.0,0.3214,0.383,0.866,-0.9446,0.066,0.3214
2148509,116,293.5,40.0,95.0,-0.5896,-0.2561,0.766,0.7347,0.2241,0.6403
2148509,117,318.0,25.0,110.0,-0.2828,-0.3141,0.9063,0.824,0.404,0.3971
2148509,118,332.6,40.0,115.0,-0.2957,-0.5707,0.766,0.6946,0.422,0.5826
2148509,119,145.4,65.0,160.0,0.5148,0.7459,0.4226,-0.8555,0.4148,0.31
2148509,120,148.1,60.0,130.0,0.4581,0.7349,0.5,-0.7481,0.015,0.6634
2148509,121,113.2,60.0,110.0,0.7958,0.3415,0.5,-0.5666,0.129,0.8138
2148509,122,139.4,45.0,110.0,0.4601,0.537,0.7071,-0.692,-0.2821,0.6645
