#
  1   738774.0279896   -129.9990   45.9480   1.37
 225300005     738774.0279896  -129.9990    45.9480    1.369
AAS1  U         59.0790         59.0790         53.6753          56.2861
AAS2  U         49.2368         49.2368         43.4970          41.4511
ACC1  D         72.1505         72.1505         34.9511          71.8509
AEC2  D         64.9986         64.9986         36.0355          95.6826
AEC3  D         71.4857         71.4857         44.9519          67.0708
A01A  U         18.6057         18.6057         34.9608         172.7204
A02A  D        101.3303        101.3303        649.4597        2802.5611
A03A  U         28.3379         28.3379        126.6385         778.6808
A04A  U         44.6078         44.6078        304.2488         581.1999
A06A  D         54.7849         54.7849        187.2697         480.6299
A07A  D         39.9049         39.9049         35.4355         123.7971
A09A  U         61.7178         61.7178         28.3198         630.4802
#
  2   738774.6427948   -129.9920   45.9510   1.28
 225300042     738774.6427948  -129.9920    45.9510    1.282
AAS1  D         65.9111         65.9111         66.9565          67.2172
AAS2  U         60.2485         60.2485         49.8675          62.0956
ACC1  U         81.1991         81.1991        114.5599         225.2328
AEC1  D         69.8670         69.8670         61.7208         262.9757
AEC3  D        108.4707        108.4707         67.3466         141.5134
AID1  D        133.3156        133.3156         87.7424         122.3721
A05A  D        222.6224        222.6224         68.2047        1028.0878
A06A  U         59.3849         59.3849         36.4003         150.4645
A07A  D         56.7023         56.7023         92.8654         279.1778
A08A  U         78.9032         78.9032        266.7458         768.9139
A11A  U        159.2478        159.2478        105.7625         720.4741
#
  3   738775.7577433   -129.9880   45.9490   1.83
 225400052     738775.7577433  -129.9880    45.9490    1.829
AAS2  D         34.5583         34.5583         24.9010          46.2067
ACC1  U         68.7117         68.7117        610.9506         396.3621
AEC1  D         46.2622         46.2622        159.2389        1085.2771
AEC2  U         64.6418         64.6418        169.9018         293.6884
AEC3  U         44.1829         44.1829        178.8923         312.5992
AID1  U         48.7249         48.7249         45.0874          69.0763
A08A  U        160.7884        160.7884        248.5114        1057.8752
A10A  U         19.5086         19.5086         67.1479         145.8023
A12A  D         10.8557         10.8557          7.1589          23.6791
#
  4   738776.1086999   -129.9940   45.9550   1.43
