#
100   736053.8127005   -129.9805   45.9374   1.44
 1130735     736068.9813870  -129.9805    45.9374    1.423
AS1A  U         31.9124         28.5550        315.2567         521.7074
AS2A  U         25.1742         28.7293        208.6293         138.6218
CC1A  U          1.0000          1.0000          1.0000           1.0000
EC1A  D         22.5166         32.0937        164.6494         923.1363
EC2A  D         23.4295         37.6835        241.6620         466.1419
EC3A  D         43.4642        114.4826       1526.5990        8115.3169
ID1A  U         48.7255         37.9052        266.1473         365.3229
 1130741     736068.9824352  -129.9805    45.9373    1.432
AS1B  U         36.8093         81.3782        270.1687        1025.0408
AS2B  U         33.5756         28.5997        383.4030         278.0402
CC1B  U          1.0000          1.0000          1.0000           1.0000
EC1B  D         37.0620         50.0581        304.0079        1840.0530
EC2B  D         35.7131         83.1212        290.1455         811.7087
EC3B  D         41.4131        155.4834       2964.4284       15636.2685
ID1B  U         56.4239         54.1442        581.9240         700.5919
 1094906     736048.6105218  -129.9805    45.9373    1.438
AS1C  U         29.0153         32.9384        234.7295         830.9998
AS2C  U         31.6662         29.5485        324.8833         243.1475
CC1C  U          1.0000          1.0000          1.0000           1.0000
EC1C  D         38.9610         32.8530        244.3198        1410.2566
EC2C  D         29.0534         29.1529        230.6521         762.8820
EC3C  D         48.5914         42.5965       2471.8148       13107.8599
ID1C  U         40.6415         32.5701        406.9231         581.0769
 1131041     736069.1099034  -129.9805    45.9373    1.428
AS1D  U         35.7883         36.3528        471.5983        1740.8608
AS2D  U         39.3653         37.6880        628.6977         478.2199
CC1D  U          1.0000          1.0000          1.0000           1.0000
EC1D  D         33.7371         43.3718        494.8867        3159.7477
EC2D  D         39.4331         54.2293        486.2792        1615.4195
EC3D  D         25.2087         84.8053       5125.6124       27225.6724
ID1D  U         55.7957         33.1557        907.4034        1249.6091
 1034933     735998.0818806  -129.9805    45.9375    1.454
AS1E  U         36.8518         35.8193        161.6810         482.2960
CC1E  U         32.3306         56.1786         69.8107         197.0382
EC1E  D         22.1769         26.3351        128.8036         746.5537
EC2E  D         28.7594         28.5214        107.9508         359.4253
EC3E  D         37.8703         46.2378       1277.2976        6627.0076
ID1E  U         49.5220         35.2198        224.3199         326.4180
 1131042     736069.1100750  -129.9803    45.9376    1.441
AS1F  U         33.5520         36.0582        411.8360        1498.9186
AS2F  U         25.1669         32.7332        542.8318         405.9838
CC1F  U          1.0000          1.0000          1.0000           1.0000
EC1F  D         31.1984         25.8187        421.2156        2619.9465
EC2F  D         41.3891         23.6039        363.5145        1187.7711
EC3F  D         25.0096         54.5087       4332.9978       22395.6928
ID1F  U         29.9281         26.8820        711.4774        1027.3422
#
101   736035.6725597   -129.9784   45.9338   1.49
 1049723     736016.1435290  -129.9786    45.9339    1.487
AS1A  U         28.0864         27.0912        200.4213         571.5661
AS2A  U         37.0844         33.9770        226.1572         118.7601
EC1A  D         26.2532         38.3339        195.1600         962.7844
EC2A  D         25.2212         24.1550        347.9862        1479.2407
EC3A  D         29.3965         50.4848       1417.6642        9036.5568
ID1A  U         31.7097         31.0064        664.1043         827.5957
 1067565     736034.6065783  -129.9778    45.9330    1.511
AS1B  U         45.5683         56.9282        315.2534         943.5408
AS2B  U         33.0811         42.8887        336.6083         200.0514
CC1B  D          1.0000          1.0000          1.0000           1.0000
EC1B  D         29.7953         53.8574        273.3948        1433.7644
EC2B  D         37.3133         61.3349        468.8692        2552.8816
EC3B  D         90.6945        326.8475       2380.4859       14407.4923
ID1B  U         66.8892         58.2795       1113.3260        1319.1150
 1088183     736045.6916503  -129.9785    45.9340    1.488
AS1C  U         81.3044        128.9955       1032.7653        3110.7107
AS2C  U         54.8202         69.8571        824.4703         664.5294
CC1C  D          1.0000          1.0000          1.0000           1.0000
EC1C  D         92.8477        196.7092        932.3221        4943.7963
EC2C  D        134.6731        182.4869       1579.7299        6754.5119
EC3C  D        170.0335        444.9913       7174.1863       42754.9899
ID1C  U         70.2362         88.5750       3498.2763        4354.7573
 1077190     736039.7478852  -129.9784    45.9340    1.497
AS1D  U         73.8653         35.0581        699.7890        1889.6993
AS2D  U         43.4513         42.1405        513.8822         417.5821
CC1D  D          1.0000          1.0000          1.0000           1.0000
EC1D  D         43.3137         54.1225        594.8303        3043.2035
EC2D  D         79.0720        113.1035       1088.0217        4596.0072
EC3D  D        157.6351        880.8698       4502.5742       27682.5981
ID1D  U         99.6846        107.6943       2162.9386        2557.7029
