#
  5   736037.9628686   -129.9974   45.9605   1.44
 1040580     736004.1116798  -129.9975    45.9604    1.464
AS2A  U         45.8356         45.8356        147.8690         266.5020
CC1A  U         84.5548         84.5548       2072.5731        1950.6842
EC1A  U         44.7324         44.7324        552.4878        1536.8142
EC2A  U         48.2703         48.2703        229.5543         279.9858
EC3A  U         65.9883         65.9883        224.2070         601.6941
 1040583     736004.1127127  -129.9973    45.9605    1.414
AS1B  U         42.1368         42.1368        343.9933        1175.8407
AS2B  U         51.0821         51.0821        763.0178        1552.0451
CC1B  U        107.8670        107.8670      11821.3575       15341.1247
EC1B  U         52.6972         52.6972       2877.6119       12391.3751
EC2B  U         46.8932         46.8932       1283.9159        2289.9008
EC3B  U         50.4437         50.4437       1149.0440        3420.4926
ID1B  U         55.1625         55.1625        243.9414         458.2146
 1030027     735994.9168356  -129.9975    45.9604    1.449
AS1C  U         29.9654         29.9654        189.9876         665.7924
AS2C  U         38.0341         38.0341        433.5353         884.9777
CC1C  U         48.4683         48.4683       6756.8686        8363.2202
EC1C  U         21.6780         21.6780       1792.9832        6228.3764
EC2C  U         20.7847         20.7847        747.8058        1103.1467
EC3C  U         38.2111         38.2111        698.4197        1740.1284
ID1C  U         40.2298         40.2298        122.8397         235.8477
 1141119     736077.8313013  -129.9973    45.9605    1.458
AS1D  U         31.4948         31.4948        252.1875         796.8340
AS2D  U         39.0607         39.0607        541.4781        1248.8792
CC1D  U          1.0000          1.0000          1.0000           1.0000
EC1D  U         31.6122         31.6122       2792.3032        8268.8255
EC2D  U         28.2831         28.2831       1108.9761        1583.6640
EC3D  U         43.9091         43.9091        964.3507        2384.1395
ID1D  U          1.0000          1.0000          1.0000           1.0000
 1133476     736071.9133870  -129.9973    45.9608    1.418
AS1E  U         32.3486         32.3486         68.0673         213.2340
AS2E  U         28.2613         28.2613        137.7925         293.8022
CC1E  U         81.4817         81.4817       1529.0585        1254.8399
EC1E  U         41.8900         41.8900        806.6554        3051.7610
EC2E  U         28.7326         28.7326        311.0673         509.7710
EC3E  U         34.6576         34.6576        302.8687         731.9121
ID1E  U         22.0785         22.0785         61.3963         107.2521
 1101920     736052.7935088  -129.9973    45.9606    1.467
AS1F  U         30.4230         30.4230        366.4387        1332.5962
AS2F  U         30.3876         30.3876        895.4708        1773.7045
CC1F  U         48.3075         48.3075       8732.6186        7333.8367
EC1F  U         34.3284         34.3284       3078.8583       13022.6468
EC2F  U         26.6958         26.6958       1366.6508        2362.7686
EC3F  U         39.3330         39.3330       1268.6379        3873.1882
ID1F  U         39.3337         39.3337        215.4242         476.7780
 1045053     736009.9832032  -129.9973    45.9607    1.418
AS1G  U         73.4648         73.4648        359.0316        1228.2729
AS2G  U         64.4475         64.4475        796.7413        1715.4049
CC1G  U        259.5878        259.5878      12389.3996       12898.9845
EC1G  U         66.2778         66.2778       3381.3789       12601.1744
EC2G  U         65.0429         65.0429       1465.0189        2417.5210
EC3G  U         88.6675         88.6675       1283.1511        3364.0825
ID1G  U         64.5870         64.5870        267.3274         455.6674
 1065317     736033.5743859  -129.9974    45.9604    1.418
AS1H  U         40.6318         40.6318        457.4053        1535.9225
AS2H  U         43.5273         43.5273       1031.8008        2135.6129
CC1H  U         39.8300         39.8300      10908.5591        7796.2619
EC1H  U         30.3098         30.3098       3676.3962       15030.5649
EC2H  U         21.2204         21.2204       1633.1114        2844.0505
EC3H  U         41.8357         41.8357       1489.8165        4253.6271
ID1H  U         30.4758         30.4758        276.4196         566.6490
 1133481     736071.9156453  -129.9973    45.9603    1.427
AS1I  U        126.0724        126.0724        446.9657        1485.6126
AS2I  U        211.3481        211.3481        982.4507        2051.0732
CC1I  U        247.0153        247.0153      10245.6340        7920.2529
EC1I  U        151.8665        151.8665       3521.9661       13789.4975
