#
100   736044.3103924   -129.9916   45.9466   0.47
 1058614     736026.4537133  -129.9917    45.9466    0.465
AS1A  U         26.0650         49.2911        123.7734         324.9018
AS2A  D         42.3316         43.5383        161.2561         160.7843
CC1A  U         31.4153         21.7923        487.1332         651.2732
EC1A  D         37.0702         26.3777        329.3088        2667.0757
EC2A  U         37.8899         29.7966        252.4545        1557.5657
EC3A  U         28.0907         47.8146        263.4454         934.2672
 1059610     736028.0488939  -129.9915    45.9465    0.475
AS1B  U         19.8401         22.5793         86.7955         272.2304
AS2B  D         32.0300         34.7284        113.2411         120.5719
CC1B  U         15.1611         18.6334        328.5690         464.6417
EC1B  D         23.1452         18.8624        252.3998        2008.3104
EC2B  U         19.5134         19.5828        186.8847        1132.4228
EC3B  U         21.7794         35.1882        165.7062         572.8089
 1065449     736033.6304899  -129.9916    45.9465    0.472
AS1C  U         43.0665         45.5925         77.4707         272.0948
AS2C  D         34.7607         35.9142        123.5113         130.3650
CC1C  U         39.1800         35.1387        336.3518         460.4037
EC1C  D         46.4321         40.1185        284.5636        2019.3259
EC2C  U         40.0828         40.4783        188.9159        1113.1884
EC3C  U         35.4443         68.5368        171.9728         588.6544
 1105538     736054.2400347  -129.9916    45.9466    0.464
AS1D  U         30.7577         39.0171        130.8571         360.1810
AS2D  D         41.7606         49.0966        207.2697         194.3532
CC1D  U         65.4216         58.9495        505.5168         652.5648
EC1D  D         45.6385        283.0669        341.9378        3166.1973
EC2D  U         27.3588        155.5223        357.0024        1862.3827
EC3D  U         50.8846        105.0635        342.8289        1039.8477
 1110728     736057.0522901  -129.9916    45.9465    0.467
AS1E  U         32.1850         33.4558         95.9203         246.6606
AS2E  D         32.3741         29.5753        174.0013         114.4014
CC1E  U         25.3027         31.5806        372.5501         459.3568
EC1E  D         23.1883         36.7813        320.5875        2241.9305
EC2E  U         34.1725         29.0746        257.2316        1522.1140
EC3E  U         29.1264         72.3727        255.8004         831.8509
 1127279     736066.4369326  -129.9916    45.9466    0.468
AS1F  U         35.6011         37.8691        138.2728         286.6418
AS2F  D         48.8058         33.3131        155.3653         164.9628
CC1F  U         53.9361         34.9549        412.0462         527.9230
EC1F  D         38.2789         52.6730        288.3911        2440.0006
EC2F  U         37.0900         34.4745        244.7183        1570.5179
EC3F  U         32.6603         51.8407        290.3788         835.0833
#
101   736046.9054907   -129.9892   45.9423   0.53
 1030553     735995.0424835  -129.9895    45.9425    0.522
AS1A  U         70.8953         71.7007        376.1789        1256.6228
AS2A  D        118.5020        146.2987        545.8451         624.1426
CC1A  U         79.2897        153.8814        551.8364         618.2459
EC1A  D         68.8622        117.6276        721.4692        3546.6124
EC2A  D         89.0814         92.6176        618.0687        3021.3186
EC3A  D         87.9197        142.2272        950.9105        5807.2701
 1072561     736036.8058956  -129.9898    45.9424    0.514
AS1B  U         37.8766         29.3245        215.1900         800.0939
AS2B  D         22.2521         37.3272        296.4107         328.5661
CC1B  U          1.0000          1.0000          1.0000           1.0000
EC1B  D         22.1251         22.6182        411.9840        1710.8736
EC2B  D         23.2704         26.5896        409.5605        1637.7741
EC3B  D         25.2791         48.1899        597.5619        2806.6040
ID1B  U         36.7670         33.5576        163.2731         202.0503
 1100864     736051.9393051  -129.9885    45.9424    0.530
AS1C  U         36.2949         33.0739        107.3237         321.8971
AS2C  D         51.8391         48.0255        129.1400         145.6006
CC1C  U         51.1931         50.0804        124.9425          72.2955
EC1C  D         34.2300         44.3157        108.3337         713.8790
EC2C  D         26.1303         33.9037        178.2583         777.6073
EC3C  D         31.1094         49.4925        303.0284        1471.7328
 1119023     736061.1247842  -129.9893    45.9422    0.531
AS1D  U         30.2979         33.6569        251.7609         683.2604
AS2D  D         28.8538         30.0710        254.0174         283.6915
CC1D  U          1.0000          1.0000          1.0000           1.0000
EC1D  D         42.6821         44.7845        288.6096        1804.4615
EC2D  D         27.2185         61.7786        313.6261        1475.5495
EC3D  D         30.8932         95.8160        480.9625        2633.9854
ID1D  U         30.3523         25.7272        173.6914         176.1235
 1119063     736061.1389598  -129.9892    45.9422    0.547
AS1E  U         52.8049         36.9635        183.8516         580.2643
AS2E  D         36.7302         30.9520        176.3220         232.8383
CC1E  U         21.9978         34.3564        130.0671         104.8153
EC1E  D         37.4937         30.9288        315.5922        1601.9383
EC2E  D         34.6156         35.7445        306.3348        1505.0122
EC3E  D         31.6483         57.0323        469.2595        2588.2795
 1119098     736061.1430208  -129.9892    45.9423    0.530
AS1F  U        143.1701         97.9227       1172.3613        3270.0362
AS2F  D        144.4002         93.0015       1124.7033        1408.4882
CC1F  U         91.8763         85.2285        816.5106         420.9721
EC1F  D        107.5502        250.6447       1605.5856        8766.3952
EC2F  D         81.9242         79.7488       1670.2891        8065.2114
EC3F  D         86.9037        203.6301       2515.3860       14091.2952
ID1F  U          1.0000          1.0000          1.0000           1.0000
 1119104     736061.1439858  -129.9892    45.9421    0.539
AS1G  U         34.4471         50.2561        721.8877        2055.3028
AS2G  D         44.0884         32.1510        671.1628         805.4386
CC1G  U          1.0000          1.0000          1.0000           1.0000
EC1G  D         40.9503         25.5738       1233.6650        6107.3983
EC2G  D         68.4528         33.6253       1059.0139        5091.0163
EC3G  D         74.4605         61.5725       1690.0224        8587.0614
ID1G  U         35.9423         30.2282        421.5270         451.0782
#
102   736016.5065871   -129.9922   45.9473   0.44
 1033802     735997.4331529  -129.9922    45.9472    0.434
AS1A  U         44.7468         44.5592         80.6694         244.4963
AS2A  D         42.5706         58.7110        164.0453         216.9745
CC1A  U         84.4549         74.0802        269.4772         889.0143
EC1A  D         41.6374         56.7546        477.6994        2718.4148
EC2A  U         64.6801         46.8192        373.4350        2088.5736
EC3A  U         54.6460         69.5553        340.8576        1792.3519
 1038918     736002.1894685  -129.9924    45.9479    0.421
AS1B  U         40.4375         36.2098         97.8659         192.3160
AS2B  D         49.9875         27.6281        173.9779         167.4453
CC1B  U         66.2868         53.9777        256.0870         935.6424
EC1B  D         43.4555         40.3282        383.2180        1409.5687
EC2B  U         48.3250         38.3315        215.0826        1298.1948
EC3B  U         32.7072         53.7267        224.2541        1315.6993
 1052471     736018.7953523  -129.9922    45.9472    0.451
AS1C  U         55.2951         45.6294         98.4828         350.8743
AS2C  D         50.6652         40.8285        232.7076         241.6108
CC1C  U         32.3207         51.6924        278.5787        1041.7055
EC1C  D         33.4167         46.6422        737.3358        3568.7017
EC2C  U         36.1486         46.9508        420.7336        2594.6777
EC3C  U         42.3440         84.0811        503.4539        2492.8418
 1052487     736018.7989755  -129.9922    45.9473    0.441
AS1D  U         45.5044         47.9875        268.2682         808.7488
AS2D  D         51.3785         50.0807        571.2428         649.3587
CC1D  U         50.2997         78.0056        908.3172        2776.9118
EC1D  D         37.5803         65.5862       1572.3127        8646.6879
EC2D  U         51.6781         50.0736       1060.1463        6069.4706
EC3D  U         50.1852         83.9620        893.6147        4884.2095
 1052489     736018.7991673  -129.9922    45.9471    0.436
AS1E  U         51.0610         46.2471        366.5227         181.3315
AS2E  D         47.6188         44.3665        278.5606         271.1733
CC1E  U         49.1995        100.7708        440.9645        1239.5281
EC1E  D         54.1201         49.1022       1168.5790        4298.2465
EC2E  U         52.4035         49.0592        413.5010        2270.5971
EC3E  U         48.3619         69.6700        424.5775        2213.2181
 1082914     736043.0234059  -129.9921    45.9471    0.452
AS1F  U         39.7239         43.1864         88.0374         266.9681
AS2F  D         48.7701         34.4711        134.2437         186.0802
CC1F  U         47.6727         32.9654        254.4981         513.9969
EC1F  D         34.5088         38.6555        600.3350        2547.0331
EC2F  U         29.2660         39.4295        288.3083        1740.7503
EC3F  U         46.3522         53.6591        320.0222        1427.8099
#
103   736041.0607283   -129.9920   45.9470   0.46
 1064351     736032.9253960  -129.9918    45.9468    0.461
AS1A  U         19.9428         39.8687         80.2955         157.9105
AS2A  D         23.0218         43.6621         74.9910          93.3298
CC1A  U         23.9501         31.8877        212.5401         327.7024
EC1A  D         19.3958         28.6760        267.6388        1444.9218
EC2A  U         21.6980         23.6842        156.6420         937.1873
EC3A  U         25.6152         46.0265        222.1161         575.9462
 1073330     736037.1710516  -129.9918    45.9466    0.457
AS1B  U         39.1073         34.2398        102.7634         221.9561
AS2B  D         45.5791         39.4291        137.6427         134.0045
CC1B  U         52.7995         50.9695        355.7070         445.4485
EC1B  D         32.4598         43.3178        307.7405        2238.8561
EC2B  U         44.0152         47.7037        218.6203        1010.5377
EC3B  U         43.0804         57.6044        231.2348         879.9689
 1075098     736038.1109926  -129.9919    45.9469    0.473
AS1C  U         19.6098         29.4896         97.8054         215.3496
AS2C  D         29.1165         29.4302        123.0459         135.6787
CC1C  U         25.6806         25.6515        266.3773         381.1604
EC1C  D         32.0543         21.5704        450.5515        2080.1835
