#
100   736046.3986523   -129.9886   45.9428   0.48
 1059934     736028.0891286  -129.9887    45.9428    0.488
AS1A  U        103.7251         43.1520        889.0844        2788.8997
AS2A  D         96.9861         46.5690       1679.3884        1475.3996
CC1A  U         44.9728         53.6465        746.2193        1315.5702
EC1A  D         56.4945         53.9559       1333.7893        9917.2058
EC2A  D         65.0653         49.4747       1965.3243        7261.4861
EC3A  D         55.1408         68.1846       2508.9065       13827.0310
ID1A  U         49.3971         40.5748       1042.7501         742.1708
 1059966     736028.0919772  -129.9887    45.9427    0.478
AS1B  U         34.5267         49.8868        442.7544        1397.3989
AS2B  D         35.7675         26.0596        852.6229         782.2289
CC1B  U         35.2763         37.3081        389.6080         698.4847
EC1B  D         31.2786         76.1642        708.1955        5379.1993
EC2B  D         24.8867         28.1529        981.4360        3908.6464
EC3B  D         31.0520         75.2334       1335.3054        7401.1422
ID1B  U         36.4078         31.7630        536.5833         378.3139
 1060070     736028.1025084  -129.9890    45.9427    0.446
AS1C  U         44.8788         43.6766        254.4546         777.5672
AS2C  D         37.6848         34.4901        469.3606         342.5357
CC1C  U         29.9706         33.7076        239.8545         345.7521
EC1C  D         30.7531         64.3633        642.5762        2638.8840
EC2C  D         33.8559         53.5846        448.3223        1905.2919
EC3C  D         38.2829         95.9966        611.6538        3935.2965
ID1C  U         33.6657         22.9537        293.1715         258.9202
 1098893     736050.7817375  -129.9891    45.9446    0.463
AS1D  U         40.2682         33.6757        396.7386        1321.1636
AS2D  D         43.2920         26.9154        671.2262         686.9659
CC1D  U         47.9790         35.0762       1067.4553        1510.9336
EC1D  D        139.4151         45.3146       3561.5166       12961.0145
EC2D  D         73.9975         31.1892       1488.7070        6507.9014
EC3D  D         58.6901         51.3539       2693.7059       11708.7412
ID1D  U         46.2351         36.1694        620.8825         694.6081
 1099946     736051.3903791  -129.9892    45.9431    0.454
AS1E  U         40.0806         36.3873        265.0534         974.2832
AS2E  D         41.0513         33.1837        266.6717         333.5927
CC1E  U         52.3781         30.0771        139.0544         317.2959
EC1E  D         25.6741         20.9015        546.5506        2374.4814
EC2E  D         26.1286         35.7269        375.8852        1651.7090
EC3E  D         26.1830         54.2971        689.2686        3920.3526
ID1E  U         48.9104         41.4453        142.5410         166.8563
 1107872     736055.3365597  -129.9875    45.9429    0.397
AS1F  U         38.0572         44.4780        204.6518         683.2730
AS2F  D         22.2475         26.0707        155.5095         272.9562
CC1F  U         22.4299         28.5714        131.5009         299.6731
EC1F  D         24.8775         33.2707        387.3136        2168.4599
EC2F  D         27.2301         24.6606        293.6871        1539.1534
EC3F  D         52.1057         60.0580        521.7470        3931.4734
ID1F  U         39.5714         37.8872        149.6890         124.4134
 1123343     736063.6237127  -129.9885    45.9415    0.556
AS1G  U         29.5645         33.7821        191.8735         852.7211
AS2G  D         22.8668         47.8748        173.0893         252.6669
CC1G  U         17.4401         27.7548        107.1686         181.4674
EC1G  D         36.6213         24.8831        221.3663        1091.7899
EC2G  D         37.5569         26.6146        386.2529        1646.9840
EC3G  D         28.6771         47.7837        532.6990        3283.0988
ID1G  U         45.2555         28.5356        194.9112         186.9078
 1126521     736065.7732153  -129.9885    45.9419    0.521
AS1H  U         35.6022         28.0906        441.7945        1709.7095
AS2H  D         42.9007         48.4562        384.9994         623.2435
CC1H  U         35.0868         30.4325        298.8170         412.8032
EC1H  D         42.9289         85.2989        428.8647        2529.3919
EC2H  D         38.7571         30.2623        647.2535        2894.1572
EC3H  D         32.6336         63.8467        979.0996        6541.3710
ID1H  U         35.2006         29.5079        439.8159         402.7319
#
101   736052.2351274   -129.9892   45.9448   0.45
 1031020     735995.1554842  -129.9918    45.9467    0.467
AS1A  U         53.3606         50.8958        276.2225         696.6635
AS2A  D         31.8456         44.9195        463.8878         402.3611
CC1A  U         59.2809        134.6234       1021.8442        3206.7420
EC1A  D         89.9682        139.1256       1079.4224        6157.8451
EC2A  U         67.5083         57.3026        625.9267        4148.9225
EC3A  U         51.5827         96.4039        902.5384        2516.1016
ID1A  U         65.2319         30.4587        291.8848          74.8017
 1061284     736028.6621617  -129.9888    45.9446    0.450
AS1B  U         23.5128         18.1011        522.9262        1693.8624
AS2B  D         21.9856         19.6785        523.6712         779.8356
CC1B  U         46.0941         49.5844        911.0102        1134.4329
EC1B  D         31.0768         28.0286       5328.9757       20404.3890
EC2B  U         23.0721         28.3198       1762.5332        7135.6457
EC3B  U         27.7563         35.8559       2776.5402       10667.4147
ID1B  U         21.8074         18.4389        418.3230         559.3231
 1118386     736060.9673162  -129.9890    45.9448    0.451
AS1C  U         31.6464         36.9896        503.1689        1466.7141
AS2C  D         29.3662         34.9005        720.5370         862.5632
CC1C  U         30.2021         32.3295       1079.7039        1466.2341
EC1C  D         26.4176         34.8083       4390.4610       15217.2813
EC2C  U         25.6744         34.5106       1295.4278        6468.3807
EC3C  U         25.3736         51.5298       2723.6543       10150.0832
ID1C  U         38.8992         30.6294        449.1027         573.6057
 1123490     736063.6556654  -129.9888    45.9447    0.455
AS1D  U         40.7738         39.2757        222.3806         657.6940
AS2D  D         24.4327         36.1157        242.2166         353.7136
CC1D  U         26.3720         30.1149        387.4768         543.7259
EC1D  D         33.4240         30.8588       1907.2707        6949.5492
EC2D  U         16.4027         36.1819        586.2217        2739.3936
EC3D  U         36.9757         37.4647       1165.3151        4128.5531
ID1D  U         52.0666         23.8577        195.3346         242.0810
 1123785     736063.7249694  -129.9887    45.9442    0.446
AS1E  U         35.1877         25.0245        843.7153        2448.0937
AS2E  D         31.6081         52.9067        533.6013         783.0236
CC1E  U         26.3772         47.5212        791.8488        1379.9928
EC1E  D         33.2390         23.0666       4253.9653       15893.4809
EC2E  U         34.7233         31.4593       1276.3015        6284.8272
EC3E  U         25.7676         37.7628       2565.6779       10323.8505
ID1E  U         31.5134         24.4617        543.3733         509.6993
 1139248     736076.7096509  -129.9887    45.9443    0.459
AS1F  U         35.4026         32.5587        515.1400        1354.2345
AS2F  D         27.6892         44.2658        365.1697         452.6738
CC1F  U         29.6364         44.3669        596.8816        1111.2361
EC1F  D         22.5192         23.7835       2212.8031        8238.0907
EC2F  U         28.6694         33.4879        769.1041        3658.6194
EC3F  U         26.5415         37.0060       1465.2137        6134.3930
ID1F  U         70.7352         30.8190        348.6317         423.2118
 1139557     736076.7706440  -129.9886    45.9443    0.443
AS1G  U         29.8817         33.0731       1858.8518        5649.3544
AS2G  D         26.8592         43.0939       1127.1972        1778.6163
CC1G  U         36.8466         35.1015       2021.6977        3805.0933
EC1G  D         35.8304         22.0676       8794.6211       33081.9916
EC2G  U         27.8140         27.3360       2806.6368       14028.9527
EC3G  U         36.1759         42.7332       5287.7798       21376.6414
ID1G  U         57.4759         27.5402       1234.4231        1031.5780
*
