#
100   736055.0544216   -129.9894   45.9423   0.53
 1072561     736036.8058956  -129.9898    45.9424    0.514
AS1A  U         37.8766         29.3245        215.1900         800.0939
AS2A  D         22.2521         37.3272        296.4107         328.5661
CC1A  U          1.0000          1.0000          1.0000           1.0000
EC1A  D         22.1251         22.6182        411.9840        1710.8736
EC2A  D         23.2704         26.5896        409.5605        1637.7741
EC3A  D         25.2791         48.1899        597.5619        2806.6040
ID1A  U         36.7670         33.5576        163.2731         202.0503
 1119023     736061.1247842  -129.9893    45.9422    0.531
AS1B  U         30.2979         33.6569        251.7609         683.2604
AS2B  D         28.8538         30.0710        254.0174         283.6915
CC1B  U          1.0000          1.0000          1.0000           1.0000
EC1B  D         42.6821         44.7845        288.6096        1804.4615
EC2B  D         27.2185         61.7786        313.6261        1475.5495
EC3B  D         30.8932         95.8160        480.9625        2633.9854
ID1B  U         30.3523         25.7272        173.6914         176.1235
 1119098     736061.1430208  -129.9892    45.9423    0.530
AS1C  U        143.1701         97.9227       1172.3613        3270.0362
AS2C  D        144.4002         93.0015       1124.7033        1408.4882
CC1C  U         91.8763         85.2285        816.5106         420.9721
EC1C  D        107.5502        250.6447       1605.5856        8766.3952
EC2C  D         81.9242         79.7488       1670.2891        8065.2114
EC3C  D         86.9037        203.6301       2515.3860       14091.2952
ID1C  U          1.0000          1.0000          1.0000           1.0000
 1119104     736061.1439858  -129.9892    45.9421    0.539
AS1D  U         34.4471         50.2561        721.8877        2055.3028
AS2D  D         44.0884         32.1510        671.1628         805.4386
CC1D  U          1.0000          1.0000          1.0000           1.0000
EC1D  D         40.9503         25.5738       1233.6650        6107.3983
EC2D  D         68.4528         33.6253       1059.0139        5091.0163
EC3D  D         74.4605         61.5725       1690.0224        8587.0614
ID1D  U         35.9423         30.2282        421.5270         451.0782
#
101   736048.0556222   -129.9890   45.9437   0.48
 1030451     735995.0320091  -129.9883    45.9436    0.454
AS1A  U         48.1257         59.8061        244.1058        1308.2248
AS2A  D         48.9559         37.0937        240.4716         292.4204
CC1A  U         42.5476         93.0874        229.3979        1035.7599
EC1A  D          1.0000          1.0000          1.0000           1.0000
EC2A  D         69.3689         81.7219        499.2627        1679.3253
EC3A  D         46.4049        121.6442        966.2336        3187.4561
