#
  1   738771.0447167   -129.9980   45.9340   1.90
 225000004     738771.0447167  -129.9980    45.9340    1.900
AS1A  U         31.5902         31.5902        108.8102         157.1676
AS2A  D         45.0497         45.0497         53.7357          42.7294
CC1A  U         78.5148         78.5148         36.0482          78.8332
EC1A  U         37.4130         37.4130         68.6851         279.4532
EC2A  U         66.7923         66.7923         77.0008         244.6441
EC3A  U         30.9781         30.9781        170.4591         668.5111
05AA  U         93.4555         93.4555         54.7411         520.7612
11AA  U         96.2227         96.2227         58.8863         243.7971
14AA  U         16.9173         16.9173         51.8648          43.0239
#
  2   738773.4950116   -129.9860   45.9220   2.38
 225200008     738773.4950116  -129.9860    45.9220    2.380
AS1A  U         46.7906         46.7906        912.3981         833.0545
AS2A  U         42.5505         42.5505        483.0233         290.8414
EC1A  D         47.6110         47.6110        272.0360         801.7181
EC2A  D         64.1427         64.1427        341.3498         978.1281
EC3A  U         72.2781         72.2781        516.0177        2449.2543
ID1A  U         76.8724         76.8724       1214.4952        1422.5577
05AA  U        187.9302        187.9302        102.8946        2559.0692
12AA  U         13.1094         13.1094        100.3118         355.8071
14AA  U         31.5960         31.5960        224.6783         198.9907
#
  3   738773.6361544   -130.0130   45.9560   0.91
 225200031     738773.6361544  -130.0130    45.9560    0.910
AS2A  U         44.4746         44.4746         42.5502          68.3894
CC1A  U         75.2927         75.2927         46.6123          68.5854
EC1A  U         48.5565         48.5565         36.7833          45.5278
EC2A  D         75.5466         75.5466         32.5899          86.6414
EC3A  U         61.6338         61.6338         42.9016          56.8004
02AA  D        573.0438        573.0438        683.4607        5880.0681
03AA  U         34.1557         34.1557        263.9707         641.4511
04AA  U         56.2279         56.2279        310.5136        1051.8466
14AA  U         38.5687         38.5687         42.6366          67.1896
#
  4   738775.1558667   -129.9960   45.9150   2.39
 225400006     738775.1558667  -129.9960    45.9150    2.390
AS1A  D         41.8074         41.8074        909.9789        1059.2501
AS2A  U         34.7052         34.7052        239.9914         647.1052
CC1A  D         51.4502         51.4502        115.5104         433.9362
EC1A  U         34.4307         34.4307        174.6987         414.2772
EC2A  D         58.1249         58.1249        220.6693         352.3489
EC3A  D         53.1482         53.1482        483.0300        1414.8062
ID1A  U         61.3300         61.3300        388.8226        1532.4656
06AA  U         31.5811         31.5811         46.2581         196.0924
08AA  D         55.1231         55.1231        175.5665         874.3321
10AA  D         14.1531         14.1531         27.7295          66.4519
11AA  U         66.2568         66.2568         78.1079        1877.2080
12AA  U          9.6587          9.6587        226.4451         725.9403
14AA  D         26.3743         26.3743       1996.2068         340.5920
#
  5   738775.2005715   -130.0200   45.9890   2.10
