#
100   736053.8127005   -129.9805   45.9374   1.44
 1130735     736068.9813870  -129.9805    45.9374    1.423
AS1A  U         31.9124         28.5550        315.2567         521.7074
AS2A  U         25.1742         28.7293        208.6293         138.6218
CC1A  U          1.0000          1.0000          1.0000           1.0000
EC1A  D         22.5166         32.0937        164.6494         923.1363
EC2A  D         23.4295         37.6835        241.6620         466.1419
EC3A  D         43.4642        114.4826       1526.5990        8115.3169
ID1A  U         48.7255         37.9052        266.1473         365.3229
 1130741     736068.9824352  -129.9805    45.9373    1.432
AS1B  U         36.8093         81.3782        270.1687        1025.0408
AS2B  U         33.5756         28.5997        383.4030         278.0402
CC1B  U          1.0000          1.0000          1.0000           1.0000
EC1B  D         37.0620         50.0581        304.0079        1840.0530
EC2B  D         35.7131         83.1212        290.1455         811.7087
EC3B  D         41.4131        155.4834       2964.4284       15636.2685
ID1B  U         56.4239         54.1442        581.9240         700.5919
 1094906     736048.6105218  -129.9805    45.9373    1.438
AS1C  U         29.0153         32.9384        234.7295         830.9998
AS2C  U         31.6662         29.5485        324.8833         243.1475
CC1C  U          1.0000          1.0000          1.0000           1.0000
EC1C  D         38.9610         32.8530        244.3198        1410.2566
EC2C  D         29.0534         29.1529        230.6521         762.8820
EC3C  D         48.5914         42.5965       2471.8148       13107.8599
ID1C  U         40.6415         32.5701        406.9231         581.0769
 1131041     736069.1099034  -129.9805    45.9373    1.428
AS1D  U         35.7883         36.3528        471.5983        1740.8608
AS2D  U         39.3653         37.6880        628.6977         478.2199
CC1D  U          1.0000          1.0000          1.0000           1.0000
EC1D  D         33.7371         43.3718        494.8867        3159.7477
EC2D  D         39.4331         54.2293        486.2792        1615.4195
EC3D  D         25.2087         84.8053       5125.6124       27225.6724
ID1D  U         55.7957         33.1557        907.4034        1249.6091
 1034933     735998.0818806  -129.9805    45.9375    1.454
AS1E  U         36.8518         35.8193        161.6810         482.2960
CC1E  U         32.3306         56.1786         69.8107         197.0382
EC1E  D         22.1769         26.3351        128.8036         746.5537
EC2E  D         28.7594         28.5214        107.9508         359.4253
EC3E  D         37.8703         46.2378       1277.2976        6627.0076
ID1E  U         49.5220         35.2198        224.3199         326.4180
 1131042     736069.1100750  -129.9803    45.9376    1.441
AS1F  U         33.5520         36.0582        411.8360        1498.9186
AS2F  U         25.1669         32.7332        542.8318         405.9838
CC1F  U          1.0000          1.0000          1.0000           1.0000
EC1F  D         31.1984         25.8187        421.2156        2619.9465
EC2F  D         41.3891         23.6039        363.5145        1187.7711
EC3F  D         25.0096         54.5087       4332.9978       22395.6928
ID1F  U         29.9281         26.8820        711.4774        1027.3422
#
101   736044.3103924   -129.9916   45.9466   0.47
 1110728     736057.0522901  -129.9916    45.9465    0.467
AS1A  U         32.1850         33.4558         95.9203         246.6606
AS2A  D         32.3741         29.5753        174.0013         114.4014
CC1A  U         25.3027         31.5806        372.5501         459.3568
EC1A  D         23.1883         36.7813        320.5875        2241.9305
EC2A  U         34.1725         29.0746        257.2316        1522.1140
EC3A  U         29.1264         72.3727        255.8004         831.8509
 1058614     736026.4537133  -129.9917    45.9466    0.465
AS1B  U         26.0650         49.2911        123.7734         324.9018
AS2B  D         42.3316         43.5383        161.2561         160.7843
CC1B  U         31.4153         21.7923        487.1332         651.2732
EC1B  D         37.0702         26.3777        329.3088        2667.0757
EC2B  U         37.8899         29.7966        252.4545        1557.5657
EC3B  U         28.0907         47.8146        263.4454         934.2672
 1105538     736054.2400347  -129.9916    45.9466    0.464
AS1C  U         30.7577         39.0171        130.8571         360.1810
AS2C  D         41.7606         49.0966        207.2697         194.3532
CC1C  U         65.4216         58.9495        505.5168         652.5648
EC1C  D         45.6385        283.0669        341.9378        3166.1973
EC2C  U         27.3588        155.5223        357.0024        1862.3827
EC3C  U         50.8846        105.0635        342.8289        1039.8477
 1127279     736066.4369326  -129.9916    45.9466    0.468
AS1D  U         35.6011         37.8691        138.2728         286.6418
AS2D  D         48.8058         33.3131        155.3653         164.9628
CC1D  U         53.9361         34.9549        412.0462         527.9230
EC1D  D         38.2789         52.6730        288.3911        2440.0006
EC2D  U         37.0900         34.4745        244.7183        1570.5179
EC3D  U         32.6603         51.8407        290.3788         835.0833
 1059610     736028.0488939  -129.9915    45.9465    0.475
AS1E  U         19.8401         22.5793         86.7955         272.2304
AS2E  D         32.0300         34.7284        113.2411         120.5719
CC1E  U         15.1611         18.6334        328.5690         464.6417
