event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag,time,magnitude,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km
123,227.0,49.5,-106.3,D,34.9,36.9,16,5,30.6,50.0,45.9,-91.7,False,2023-04-12 18:01:15,1.0,45.941,-129.997,1.6,0.3,0.2
104,173.6,11.3,-111.8,D,26.3,25.6,15,9,37.7,89.7,64.2,-41.7,False,2023-04-04 02:51:22,1.0,45.955,-129.994,1.9,0.3,0.2
159,196.9,86.7,158.5,D,46.8,39.5,15,8,35.0,54.3,58.6,-54.3,False,2023-04-15 23:07:19,1.0,45.941,-129.993,1.66,0.3,0.2
100,333.3,88.1,-167.3,B,12.9,17.4,17,12,19.1,100.0,62.3,-51.1,False,2023-04-02 00:03:26,1.0,45.955,-129.994,1.79,0.3,0.2
148,31.1,67.5,-168.2,D,53.1,49.9,16,12,25.6,27.3,62.9,-50.8,False,2023-04-15 22:39:44,1.0,45.94,-129.992,1.77,0.3,0.2
149,74.8,32.8,-128.6,B,28.2,36.1,15,12,10.1,73.3,45.4,-94.1,False,2023-04-15 22:42:50,1.0,45.94,-129.991,1.48,0.3,0.2
147,77.9,51.3,-132.4,B,29.0,27.3,17,13,13.1,82.3,54.5,-70.4,False,2023-04-15 22:39:35,1.0,45.944,-129.991,1.25,0.3,0.2
157,288.1,59.6,-68.6,C,40.6,41.4,17,15,16.4,50.7,50.9,-63.8,False,2023-04-15 23:04:45,1.0,45.941,-129.992,1.31,0.3,0.2
162,46.9,55.6,-149.0,C,33.6,37.8,17,15,12.3,64.7,48.8,-69.4,False,2023-04-15 23:17:46,1.0,45.944,-129.994,1.6,0.3,0.2
180,186.9,86.1,89.0,D,38.9,24.9,17,14,34.1,80.3,67.8,-45.7,True,2023-04-19 18:21:46,1.0,45.951,-129.992,1.93,0.3,0.2
180,251.9,52.8,-94.3,D,54.0,72.0,17,14,25.9,19.7,66.7,-47.7,True,2023-04-19 18:21:46,1.0,45.951,-129.992,1.93,0.3,0.2
176,65.0,44.1,-110.3,B,21.5,18.7,19,17,20.0,99.3,62.2,-53.9,False,2023-04-19 18:07:02,1.0,45.954,-129.994,1.81,0.3,0.2
187,67.4,41.5,-113.6,B,35.8,34.2,15,13,16.0,61.3,64.0,-49.8,False,2023-04-19 18:37:37,1.0,45.955,-129.994,1.84,0.3,0.2
190,72.5,14.4,172.4,D,30.9,60.5,16,13,44.4,30.7,64.0,-63.2,False,2023-04-19 18:43:24,1.0,45.955,-129.995,1.87,0.3,0.2
183,265.0,47.3,-86.2,B,22.5,25.8,18,13,18.0,92.7,67.8,-44.6,False,2023-04-19 18:27:22,1.0,45.954,-129.993,1.9,0.3,0.2
182,67.1,44.8,-107.1,B,23.0,19.5,16,14,17.7,99.0,68.0,-40.8,False,2023-04-19 18:26:40,1.0,45.955,-129.994,1.9,0.3,0.2
181,74.4,43.3,-96.4,C,24.6,22.7,19,17,21.7,86.7,63.3,-46.9,False,2023-04-19 18:25:29,1.0,45.953,-129.995,1.81,0.3,0.2
194,178.3,86.8,-176.9,C,23.9,23.2,16,14,27.3,89.0,60.3,-58.2,False,2023-04-19 18:47:13,1.0,45.944,-129.994,1.73,0.3,0.2
195,179.2,86.5,95.5,D,47.2,45.5,16,14,32.5,25.3,70.9,-49.9,False,2023-04-19 18:47:44,1.0,45.947,-129.994,1.96,0.3,0.2
219,35.3,78.4,-129.3,D,48.8,44.1,15,4,27.1,27.7,64.7,-25.6,False,2023-04-23 18:33:56,1.0,45.943,-129.989,1.83,0.3,0.2
196,53.2,46.8,-102.5,B,32.6,32.0,19,15,12.4,64.7,62.5,-53.7,False,2023-04-19 18:47:51,1.0,45.947,-129.994,1.77,0.3,0.2
202,29.7,66.3,-146.5,C,39.5,35.6,18,14,29.4,64.0,66.0,-40.7,False,2023-04-19 19:44:21,1.0,45.952,-129.994,1.87,0.3,0.2
232,91.0,75.1,155.9,C,21.1,13.9,16,14,27.1,100.0,71.8,-45.8,False,2023-05-08 20:57:30,1.0,45.942,-129.995,1.9,0.3,0.2
199,280.9,55.8,-85.6,C,32.3,34.0,19,16,28.8,73.0,63.8,-47.1,False,2023-04-19 19:01:28,1.0,45.954,-129.995,1.84,0.3,0.2
251,288.6,9.9,176.8,D,33.7,42.9,15,3,7.2,46.0,59.1,-49.1,False,2023-05-24 21:58:07,1.0,45.949,-129.998,1.77,0.3,0.2
25,45.3,48.6,-142.4,B,30.0,28.6,18,15,8.7,79.3,54.3,-66.7,False,2022-10-29 09:07:45,1.0,45.94,-129.992,1.67,0.3,0.2
236,58.0,46.4,-112.5,B,35.9,33.4,18,18,17.3,65.7,54.0,-61.8,False,2023-05-17 12:40:36,1.0,45.95,-129.994,1.7,0.3,0.2
262,58.9,22.2,-164.1,D,46.6,40.2,15,12,26.9,39.7,51.2,-63.4,False,2023-06-02 15:27:08,1.0,45.94,-129.993,1.61,0.3,0.2
274,165.5,81.3,-176.6,B,18.9,33.9,18,12,6.8,70.0,68.4,-35.4,False,2023-06-06 16:09:01,1.0,45.955,-129.995,1.9,0.3,0.2
286,97.7,78.1,168.4,B,18.6,15.0,17,15,9.4,99.0,49.8,-85.0,False,2023-06-12 23:07:08,1.0,45.941,-129.994,1.61,0.3,0.2
312,264.6,88.1,-129.9,D,58.1,59.3,16,12,35.3,31.7,70.1,-36.7,False,2023-07-02 12:37:46,1.0,45.944,-129.992,1.84,0.3,0.2
309,359.1,85.2,-110.4,D,42.9,38.4,15,15,17.3,44.3,45.6,-68.3,False,2023-07-01 15:52:48,1.0,45.941,-129.991,1.41,0.3,0.2
40,224.9,58.4,-90.8,D,50.2,40.1,15,4,10.7,33.7,35.9,-115.9,False,2022-11-03 10:54:15,1.0,45.951,-129.998,1.37,0.3,0.2
325,162.6,73.7,-170.0,C,33.2,34.3,15,8,13.7,56.3,57.3,-51.3,False,2023-07-31 22:04:57,1.0,45.952,-129.996,1.73,0.3,0.2
313,313.3,79.5,108.1,D,35.0,35.3,17,13,30.2,73.7,72.3,-25.6,False,2023-07-02 12:38:09,1.0,45.947,-129.996,1.89,0.3,0.2
329,134.9,12.1,129.5,D,67.6,68.0,16,9,32.2,6.0,47.9,-65.4,False,2023-08-08 05:52:05,1.0,45.944,-129.996,1.43,0.3,0.2
51,90.2,64.6,-116.8,D,56.3,47.5,17,7,41.6,38.7,51.4,-62.5,False,2022-12-22 02:07:05,1.0,45.94,-129.994,1.66,0.3,0.2
54,153.4,28.1,133.9,D,49.2,48.7,15,6,34.1,44.0,59.3,-68.1,False,2022-12-26 07:01:33,1.0,45.946,-129.996,1.74,0.3,0.2
79,137.1,31.9,-142.1,B,19.8,23.4,16,12,19.3,93.0,60.4,-35.2,False,2023-02-20 01:43:51,1.0,45.943,-129.99,1.67,0.3,0.2
99,154.6,84.0,-165.1,B,26.0,29.1,19,12,14.2,81.0,65.5,-46.9,False,2023-04-02 00:03:15,1.0,45.95,-129.994,1.84,0.3,0.2
