event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag,time,magnitude,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km
100,212.6,42.8,-68.4,B,17.2,28.3,41,36,0.0,81.2,43.9,-90.8,False,2015-03-30 19:30:17,1.0,45.937333,-129.9805,1.44,0.3,0.2
1001,259.1,73.1,-174.4,A,27.6,12.4,39,37,0.0,88.9,66.2,-53.1,False,2015-03-09 13:17:26,1.0,45.972,-130.001,1.5,0.3,0.2
1003,82.2,56.2,-157.9,A,17.0,16.5,50,46,9.1,100.0,60.4,-58.6,False,2015-04-04 23:16:05,1.0,45.946,-130.02,0.6,0.3,0.2
1004,331.5,72.2,-130.5,B,7.0,7.5,48,48,0.0,100.0,47.7,-72.4,False,2015-03-02 17:33:01,1.0,45.938,-129.981,1.5,0.3,0.2
1002,133.3,35.4,-139.0,D,38.0,45.4,55,48,0.0,43.9,47.5,-78.2,False,2015-03-18 22:38:11,1.0,45.946,-129.984,1.6,0.3,0.2
1000,287.0,25.8,-72.0,B,23.8,26.3,60,56,0.0,93.8,63.0,-56.5,False,2015-03-27 11:10:27,1.0,45.964,-129.997,1.4,0.3,0.2
1005,286.5,7.0,-6.1,C,24.7,22.8,44,31,11.4,85.6,31.3,-122.7,False,2015-03-11 08:39:39,1.0,45.95,-129.985,1.6,0.3,0.2
1010,195.9,56.2,-157.4,B,32.6,29.4,37,33,0.0,74.1,71.7,-26.3,False,2015-03-10 09:58:52,1.0,45.946,-129.991,0.6,0.3,0.2
1006,66.2,65.2,-161.6,A,8.4,7.7,45,45,12.0,100.0,69.2,-39.6,False,2015-03-11 20:21:25,1.0,45.946,-130.011,0.1,0.3,0.2
101,191.6,57.4,-157.3,A,13.3,18.4,36,35,0.0,100.0,73.6,-20.1,False,2015-03-21 07:26:57,1.0,45.946667,-129.991667,0.47,0.3,0.2
1008,306.0,51.7,151.6,D,40.9,40.4,54,50,0.0,42.4,51.2,-92.4,False,2015-03-19 04:41:29,1.0,45.978,-130.0,1.8,0.3,0.2
1009,9.5,55.0,113.3,A,8.3,9.4,63,58,0.0,100.0,81.6,-26.6,False,2015-03-25 02:46:30,1.0,45.974,-130.002,1.3,0.3,0.2
1013,286.3,66.5,-116.4,A,8.3,10.7,38,34,0.0,100.0,51.9,-64.0,False,2015-03-18 01:25:02,1.0,45.931,-130.014,1.3,0.3,0.2
1007,141.6,23.0,-75.7,D,45.0,54.2,66,65,27.1,34.7,44.0,-84.3,False,2015-03-26 05:55:01,1.0,45.943,-129.986,1.4,0.3,0.2
1011,67.3,47.1,-149.9,A,11.3,9.4,40,39,0.0,100.0,65.5,-51.9,False,2015-02-28 20:49:21,1.0,45.947,-130.018,0.5,0.3,0.2
1016,237.0,23.9,34.2,C,35.9,38.4,40,35,10.9,57.5,68.0,-45.4,False,2015-02-22 12:50:10,1.0,45.944,-130.014,0.4,0.3,0.2
1014,41.9,51.5,-120.9,C,27.0,26.7,45,42,0.0,77.0,32.9,-108.1,False,2015-02-22 10:38:51,1.0,45.947,-129.99,1.4,0.3,0.2
1015,25.6,42.9,99.3,A,7.9,35.1,40,39,0.0,87.0,64.1,-59.7,False,2015-03-18 12:43:49,1.0,45.945,-130.019,0.7,0.3,0.2
1012,68.0,47.1,-147.3,A,12.4,10.0,69,66,0.0,100.0,67.1,-47.5,False,2015-03-02 04:18:27,1.0,45.945,-130.015,0.4,0.3,0.2
1017,124.1,5.4,-79.2,B,21.8,28.5,61,53,7.4,81.4,49.1,-72.9,False,2015-03-11 15:25:16,1.0,45.939,-129.981,1.6,0.3,0.2
102,192.0,69.2,-169.8,A,8.5,12.1,36,36,0.0,100.0,74.5,-25.4,False,2015-03-23 18:46:46,1.0,45.947167,-129.992333,0.43,0.3,0.2
1018,125.8,36.7,-133.7,B,18.5,19.2,60,60,8.6,97.4,43.2,-87.4,False,2015-03-10 22:38:41,1.0,45.941,-130.02,1.0,0.3,0.2
1019,99.5,83.4,161.4,C,43.6,43.5,63,43,15.7,62.1,65.9,-51.7,False,2015-03-24 04:58:05,1.0,45.945,-130.017,0.6,0.3,0.2
1020,185.8,24.1,-103.5,D,8.7,53.0,45,41,0.0,47.7,47.4,-75.8,False,2015-03-05 04:54:27,1.0,45.935,-129.98,1.3,0.3,0.2
1021,161.6,19.6,-111.0,D,48.0,36.2,47,44,42.5,53.5,43.5,-84.2,False,2015-03-18 03:50:04,1.0,45.941,-129.984,1.4,0.3,0.2
1022,169.8,35.1,-64.3,C,32.4,38.6,47,43,10.8,68.3,44.6,-78.7,False,2015-03-27 02:27:38,1.0,45.939,-129.984,1.2,0.3,0.2
1023,260.7,54.1,129.2,A,32.4,10.8,46,40,0.0,82.7,75.8,-39.1,False,2015-03-15 04:54:55,1.0,45.974,-130.0,1.4,0.3,0.2
1024,3.1,42.3,174.1,D,15.0,39.9,46,41,60.2,80.0,59.6,-54.8,False,2015-03-16 01:22:22,1.0,45.942,-130.016,0.7,0.3,0.2
1029,115.5,45.4,-162.5,A,11.2,9.8,37,31,0.0,100.0,88.0,-13.4,False,2015-03-21 19:50:19,1.0,45.974,-130.0,1.1,0.3,0.2
1026,44.7,38.5,-141.9,A,12.4,11.3,57,56,5.6,100.0,60.5,-46.7,False,2015-02-21 10:27:19,1.0,45.939,-130.013,0.5,0.3,0.2
1025,317.8,44.5,-92.2,A,7.8,19.1,60,59,0.0,97.3,52.9,-62.5,False,2015-02-20 17:55:11,1.0,45.939,-130.018,0.9,0.3,0.2
1028,174.8,54.4,-76.6,B,27.3,9.1,52,46,14.9,91.8,46.2,-80.1,False,2015-03-10 01:19:15,1.0,45.942,-130.021,1.0,0.3,0.2
1027,158.7,88.6,104.8,B,36.2,30.7,62,59,0.0,72.0,44.4,-86.0,False,2015-03-21 08:47:52,1.0,45.941,-129.984,1.5,0.3,0.2
103,106.9,18.1,-144.4,A,21.3,23.0,36,36,0.0,98.6,52.3,-87.1,False,2015-03-31 04:48:02,1.0,45.941833,-130.019833,0.91,0.3,0.2
1031,44.9,14.6,138.5,D,46.0,60.4,39,33,13.6,38.6,42.2,-80.2,False,2015-03-06 00:15:58,1.0,45.943,-129.987,1.4,0.3,0.2
1030,14.0,10.3,-126.1,A,9.9,15.6,52,46,0.0,100.0,56.0,-65.4,False,2015-03-14 05:50:59,1.0,45.928,-129.981,1.2,0.3,0.2
1032,51.6,54.9,-127.8,B,20.1,37.8,41,40,14.8,73.2,46.6,-83.6,False,2015-03-25 05:24:17,1.0,45.945,-129.985,1.5,0.3,0.2
1033,34.7,88.3,163.0,A,6.8,6.6,47,43,0.0,100.0,78.5,-16.4,False,2015-03-14 13:58:27,1.0,45.946,-129.993,0.3,0.3,0.2
1034,120.7,25.3,-121.0,C,39.1,37.8,42,42,8.9,68.9,45.4,-82.8,False,2015-04-03 10:54:36,1.0,45.945,-129.986,1.5,0.3,0.2
