sta_code,source,count_correct,count_total,pol_accuracy,weight_correct,weight_total,weight_pol_accuracy
OO.A02A.HHZ,trad_p,4,13,30.8,4.0,13.0,30.8
OO.A10A.HHZ,trad_p,18,38,47.4,18.0,38.0,47.4
OO.A09A.HHZ,trad_p,23,35,65.7,23.0,35.0,65.7
OO.A13A.HHZ,trad_p,13,19,68.4,13.0,19.0,68.4
OO.A11A.HHZ,trad_p,17,24,70.8,17.0,24.0,70.8
OO.A03A.HHZ,trad_p,10,14,71.4,10.0,14.0,71.4
OO.ACC1.HHZ,trad_p,29,39,74.4,29.0,39.0,74.4
OO.A01A.HHZ,trad_p,3,4,75.0,3.0,4.0,75.0
OO.A07A.HHZ,trad_p,29,38,76.3,29.0,38.0,76.3
OO.A12A.HHZ,trad_p,27,35,77.1,27.0,35.0,77.1
OO.AEC3.HHZ,trad_p,28,36,77.8,28.0,36.0,77.8
OO.A08A.HHZ,trad_p,29,37,78.4,29.0,37.0,78.4
OO.A05A.HHZ,trad_p,27,34,79.4,27.0,34.0,79.4
OO.AAS2.HHZ,trad_p,31,39,79.5,31.0,39.0,79.5
OO.AID1.HHZ,trad_p,31,39,79.5,31.0,39.0,79.5
OO.A04A.HHZ,trad_p,25,31,80.6,25.0,31.0,80.6
OO.A14A.HHZ,trad_p,21,26,80.8,21.0,26.0,80.8
OO.AEC2.HHZ,trad_p,31,38,81.6,31.0,38.0,81.6
OO.AAS1.HHZ,trad_p,32,37,86.5,32.0,37.0,86.5
OO.A06A.HHZ,trad_p,27,31,87.1,27.0,31.0,87.1
OO.AEC1.HHZ,trad_p,34,39,87.2,34.0,39.0,87.2
