event_id,sta_code,p_polarity,sr_dist_km,takeoff,azimuth,takeoff_uncertainty,azimuth_uncertainty,source,sp_ratio,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km,event_mag,station_lat,station_lon,station_depth_km,pol_agreement,sp_diff,mech_quality,pol_agreement_weighted
25,OO.AAS1.HHZ,1.0,0.904,37.9,218.0,5.3,-0.0,trad_p,,45.94,-129.992,1.67,0.3,0.2,1.0,45.9336,-129.9992,-0.0,1.0,,B,1.0
25,OO.AAS2.HHZ,1.0,1.843,61.2,248.0,6.8,-0.0,trad_p,,45.94,-129.992,1.67,0.3,0.2,1.0,45.9338,-130.0141,-0.0,1.0,,B,1.0
25,OO.ACC1.HHZ,1.0,2.093,65.8,321.4,7.1,-0.0,trad_p,,45.94,-129.992,1.67,0.3,0.2,1.0,45.9547,-130.0089,-0.0,1.0,,B,1.0
25,OO.AEC1.HHZ,-1.0,1.43,51.7,41.7,6.3,0.0,trad_p,,45.94,-129.992,1.67,0.3,0.2,1.0,45.9496,-129.9797,-0.0,1.0,,B,1.0
25,OO.AEC2.HHZ,-1.0,1.408,51.2,91.4,6.3,0.0,trad_p,,45.94,-129.992,1.67,0.3,0.2,1.0,45.9397,-129.9738,-0.0,1.0,,B,1.0
25,OO.AEC3.HHZ,-1.0,1.13,44.9,112.6,6.0,0.0,trad_p,,45.94,-129.992,1.67,0.3,0.2,1.0,45.9361,-129.9785,-0.0,1.0,,B,1.0
25,OO.AID1.HHZ,1.0,1.924,63.1,145.8,7.0,-0.0,trad_p,,45.94,-129.992,1.67,0.3,0.2,1.0,45.9257,-129.978,-0.0,1.0,,B,1.0
25,OO.A03A.HHZ,-1.0,5.885,85.3,359.4,10.3,-0.0,trad_p,,45.94,-129.992,1.67,0.3,0.2,1.0,45.99292,-129.99278,-0.0,0.0,,B,0.0
25,OO.A04A.HHZ,1.0,6.956,85.6,321.2,11.6,-0.0,trad_p,,45.94,-129.992,1.67,0.3,0.2,1.0,45.98874,-130.04839,-0.0,1.0,,B,1.0
25,OO.A05A.HHZ,1.0,3.975,81.9,15.8,7.4,-0.0,trad_p,,45.94,-129.992,1.67,0.3,0.2,1.0,45.97439,-129.97797,-0.0,1.0,,B,1.0
25,OO.A06A.HHZ,1.0,5.072,84.7,340.3,7.4,-0.0,trad_p,,45.94,-129.992,1.67,0.3,0.2,1.0,45.98294,-130.01413,-0.0,1.0,,B,1.0
25,OO.A07A.HHZ,1.0,4.361,83.0,317.8,7.3,-0.0,trad_p,,45.94,-129.992,1.67,0.3,0.2,1.0,45.96907,-130.02985,-0.0,1.0,,B,1.0
25,OO.A08A.HHZ,1.0,2.854,74.2,340.2,7.7,-0.0,trad_p,,45.94,-129.992,1.67,0.3,0.2,1.0,45.96415,-130.0045,-0.0,1.0,,B,1.0
25,OO.A09A.HHZ,1.0,6.433,85.5,302.2,11.3,-0.0,trad_p,,45.94,-129.992,1.67,0.3,0.2,1.0,45.97084,-130.06239,-0.0,1.0,,B,1.0
