event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag,time,magnitude,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km
101,31.6,52.7,-129.8,C,21.5,21.6,36,35,0.0,84.3,38.4,-105.6,False,2015-03-21 07:26:57,1.0,45.946667,-129.991667,0.5,0.3,0.2
103,3.4,33.0,-61.1,B,11.9,10.8,36,36,0.0,100.0,42.7,-114.8,False,2015-03-31 04:48:02,1.0,45.941833,-130.019833,0.91,0.3,0.2
100,208.0,30.5,-36.8,B,29.2,19.3,41,36,0.0,77.3,64.8,-32.0,False,2015-03-30 19:30:17,1.0,45.937333,-129.9805,1.44,0.3,0.2
104,199.7,27.0,-15.1,A,17.8,10.6,41,36,0.0,100.0,62.7,-48.5,False,2015-03-12 16:08:29,1.0,45.933833,-129.978333,1.49,0.3,0.2
102,30.9,57.0,-139.7,C,31.0,31.8,36,36,0.0,73.2,37.2,-114.3,False,2015-03-23 18:46:46,1.0,45.947167,-129.992333,0.5,0.3,0.2
106,10.2,31.1,-56.7,B,13.5,12.6,36,36,0.8,100.0,40.4,-123.3,False,2015-03-30 04:05:55,1.0,45.940667,-130.020333,1.12,0.3,0.2
107,28.4,35.0,-64.9,C,21.9,24.5,38,36,27.9,94.0,39.3,-93.0,False,2015-03-28 04:09:04,1.0,45.941167,-130.011167,0.5,0.3,0.2
109,17.4,27.4,-66.1,B,19.1,21.8,42,38,5.0,90.1,40.3,-91.5,False,2015-03-24 19:43:33,1.0,45.941167,-130.011333,0.5,0.3,0.2
108,42.5,68.7,-146.0,C,23.3,26.5,46,41,21.5,75.0,43.5,-80.3,False,2015-03-23 21:43:54,1.0,45.942333,-129.989167,0.53,0.3,0.2
105,279.8,34.3,-179.4,D,20.4,22.3,43,42,0.0,87.9,29.0,-123.4,False,2015-03-19 21:31:31,1.0,45.9355,-130.019333,1.25,0.3,0.2
