# Depth (km), Vp (km/s)
0.00, 2.9300
1.00, 3.5000
2.00, 4.0667
3.00, 4.6333
4.00, 5.2000
5.00, 5.4000
6.00, 5.6000
7.00, 5.8500
8.00, 6.1000
9.00, 6.1750
10.00, 6.2500
11.00, 6.3250
12.00, 6.4000
13.00, 6.4250
14.00, 6.4500
15.00, 6.4750
16.00, 6.5000
17.00, 6.5500
18.00, 6.6000
19.00, 6.6500
20.00, 6.7000
21.00, 6.7500
22.00, 6.8000
23.00, 6.8500
24.00, 6.9000
25.00, 6.9500
26.00, 7.0000
27.00, 7.0500
28.00, 7.1000
29.00, 7.1500
30.00, 7.2000
31.00, 7.2500
32.00, 7.6700
33.00, 8.0900
34.00, 8.0941
35.00, 8.0981
36.00, 8.1022
37.00, 8.1063
38.00, 8.1104
39.00, 8.1144
40.00, 8.1185
41.00, 8.1226
42.00, 8.1267
43.00, 8.1307
44.00, 8.1348
45.00, 8.1389
46.00, 8.1430
47.00, 8.1470
48.00, 8.1511
49.00, 8.1552
50.00, 8.1593
51.00, 8.1633
52.00, 8.1674
53.00, 8.1715
54.00, 8.1756
55.00, 8.1796
56.00, 8.1837
57.00, 8.1878
58.00, 8.1919
59.00, 8.1959
60.00, 8.2000
