# Depth (km), Vp (km/s)
0.00, 2.0585
0.05, 2.1798
0.10, 2.3162
0.15, 2.5852
0.20, 2.8746
0.25, 3.0825
0.30, 3.2754
0.35, 3.4247
0.40, 3.5645
0.45, 3.7053
0.50, 3.8464
0.55, 4.0064
0.60, 4.1718
0.65, 4.3372
0.70, 4.5026
0.75, 4.6315
0.80, 4.7472
0.85, 4.8326
0.90, 4.9056
0.95, 4.9924
1.00, 5.0855
1.05, 5.2002
1.10, 5.3257
1.15, 5.4494
1.20, 5.5721
1.25, 5.6686
1.30, 5.7490
1.35, 5.7803
1.40, 5.7790
1.45, 5.8015
1.50, 5.8415
1.55, 5.8965
1.60, 5.9634
1.65, 6.0036
1.70, 6.0204
1.75, 6.0327
1.80, 6.0407
1.85, 6.0470
1.90, 6.0514
1.95, 6.0453
2.00, 6.0273
2.05, 5.9841
2.10, 5.9093
2.15, 5.8778
2.20, 5.9056
2.25, 5.9134
2.30, 5.8911
2.35, 5.8813
2.40, 5.8921
2.45, 5.8924
2.50, 5.8736
2.55, 5.8528
2.60, 5.8280
2.65, 5.8038
2.70, 5.7807
2.75, 5.7602
2.80, 5.7459
2.85, 5.7352
2.90, 5.7344
2.95, 5.7350
3.00, 5.7395
3.05, 5.7438
3.10, 5.7472
3.15, 5.7510
3.20, 5.7569
3.25, 5.7641
3.30, 5.7776
3.35, 5.7914
3.40, 5.8062
3.45, 5.8206
3.50, 5.8320
3.55, 5.8439
3.60, 5.8594
3.65, 5.8740
3.70, 5.8781
3.75, 5.8827
3.80, 5.8965
3.85, 5.9103
3.90, 5.9256
3.95, 5.9409
4.00, 5.9545
40.00, 8.2000
