# Depth (km), Vp (km/s)
0.00, 1.8476
0.05, 1.9299
0.10, 2.0248
0.15, 2.2553
0.20, 2.5068
0.25, 2.6480
0.30, 2.7689
0.35, 2.8697
0.40, 2.9662
0.45, 3.0861
0.50, 3.2119
0.55, 3.3708
0.60, 3.5392
0.65, 3.7265
0.70, 3.9199
0.75, 4.0823
0.80, 4.2334
0.85, 4.3581
0.90, 4.4720
0.95, 4.6100
1.00, 4.7589
1.05, 4.9285
1.10, 5.1083
1.15, 5.2709
1.20, 5.4240
1.25, 5.5294
1.30, 5.6060
1.35, 5.6191
1.40, 5.5898
1.45, 5.5949
1.50, 5.6253
1.55, 5.6907
1.60, 5.7843
1.65, 5.8614
1.70, 5.9241
1.75, 5.9636
1.80, 5.9807
1.85, 5.9708
1.90, 5.9326
1.95, 5.8642
2.00, 5.7614
2.05, 5.6646
2.10, 5.5755
2.15, 5.5403
2.20, 5.5789
2.25, 5.6022
2.30, 5.6026
2.35, 5.6155
2.40, 5.6492
2.45, 5.6724
2.50, 5.6766
2.55, 5.6769
2.60, 5.6694
2.65, 5.6673
2.70, 5.6771
2.75, 5.6816
2.80, 5.6726
2.85, 5.6697
2.90, 5.6834
2.95, 5.6950
3.00, 5.6998
3.05, 5.7061
3.10, 5.7175
3.15, 5.7297
3.20, 5.7454
3.25, 5.7593
3.30, 5.7651
3.35, 5.7701
3.40, 5.7712
3.45, 5.7737
3.50, 5.7855
3.55, 5.7983
3.60, 5.8189
3.65, 5.8384
3.70, 5.8464
3.75, 5.8550
3.80, 5.8732
3.85, 5.8916
3.90, 5.9116
3.95, 5.9315
4.00, 5.9498
40.00, 8.2000
