# Depth (km), Vp (km/s)
0.00, 2.2162
0.05, 2.2892
0.10, 2.3687
0.15, 2.5708
0.20, 2.7918
0.25, 2.9603
0.30, 3.1191
0.35, 3.2246
0.40, 3.3185
0.45, 3.4223
0.50, 3.5286
0.55, 3.6964
0.60, 3.8817
0.65, 4.1174
0.70, 4.3694
0.75, 4.6020
0.80, 4.8275
0.85, 4.9823
0.90, 5.1084
0.95, 5.1599
1.00, 5.1776
1.05, 5.1829
1.10, 5.1819
1.15, 5.2221
1.20, 5.2852
1.25, 5.3755
1.30, 5.4824
1.35, 5.5808
1.40, 5.6734
1.45, 5.7344
1.50, 5.7722
1.55, 5.7780
1.60, 5.7581
1.65, 5.7297
1.70, 5.6939
1.75, 5.6947
1.80, 5.7306
1.85, 5.7566
1.90, 5.7723
1.95, 5.7711
2.00, 5.7507
2.05, 5.7336
2.10, 5.7209
2.15, 5.7176
2.20, 5.7271
2.25, 5.7559
2.30, 5.8135
2.35, 5.8884
2.40, 5.9916
2.45, 6.0822
2.50, 6.1496
2.55, 6.2003
2.60, 6.2175
2.65, 6.2205
2.70, 6.1920
2.75, 6.1555
2.80, 6.0994
2.85, 6.0464
2.90, 6.0016
2.95, 5.9602
3.00, 5.9289
3.05, 5.9008
3.10, 5.8838
3.15, 5.8684
3.20, 5.8591
3.25, 5.8499
3.30, 5.8414
3.35, 5.8320
3.40, 5.8184
3.45, 5.8056
3.50, 5.7981
3.55, 5.7884
3.60, 5.7618
3.65, 5.7367
3.70, 5.7274
3.75, 5.7193
3.80, 5.7280
3.85, 5.7368
3.90, 5.7478
3.95, 5.7587
4.00, 5.7690
40.00, 8.2000
