# Depth (km), Vp (km/s)
0.00, 2.1136
0.05, 2.2172
0.10, 2.3329
0.15, 2.5941
0.20, 2.8777
0.25, 3.1776
0.30, 3.4805
0.35, 3.7397
0.40, 3.9896
0.45, 4.2106
0.50, 4.4244
0.55, 4.6091
0.60, 4.7855
0.65, 4.9331
0.70, 5.0712
0.75, 5.1917
0.80, 5.3057
0.85, 5.4163
0.90, 5.5255
0.95, 5.6379
1.00, 5.7519
1.05, 5.8408
1.10, 5.9172
1.15, 5.9472
1.20, 5.9516
1.25, 5.9464
1.30, 5.9353
1.35, 5.9391
1.40, 5.9530
1.45, 5.9732
1.50, 5.9980
1.55, 6.0216
1.60, 6.0441
1.65, 6.0559
1.70, 6.0583
1.75, 6.0572
1.80, 6.0527
1.85, 6.0288
1.90, 5.9845
1.95, 5.9216
2.00, 5.8374
2.05, 5.7658
2.10, 5.7098
2.15, 5.6780
2.20, 5.6793
2.25, 5.6770
2.30, 5.6693
2.35, 5.6651
2.40, 5.6666
2.45, 5.6636
2.50, 5.6525
2.55, 5.6446
2.60, 5.6431
2.65, 5.6491
2.70, 5.6718
2.75, 5.6873
2.80, 5.6852
2.85, 5.6901
2.90, 5.7142
2.95, 5.7344
3.00, 5.7423
3.05, 5.7496
3.10, 5.7547
3.15, 5.7601
3.20, 5.7666
3.25, 5.7729
3.30, 5.7781
3.35, 5.7849
3.40, 5.7999
3.45, 5.8149
3.50, 5.8296
3.55, 5.8450
3.60, 5.8667
3.65, 5.8867
3.70, 5.8898
3.75, 5.8936
3.80, 5.9055
3.85, 5.9175
3.90, 5.9310
3.95, 5.9445
4.00, 5.9563
40.00, 8.2000
