# Depth (km), Vp (km/s)
0.00, 2.0533
0.05, 2.2185
0.10, 2.4048
0.15, 2.6636
0.20, 2.9336
0.25, 3.1696
0.30, 3.3994
0.35, 3.5797
0.40, 3.7492
0.45, 3.9096
0.50, 4.0677
0.55, 4.2479
0.60, 4.4345
0.65, 4.6189
0.70, 4.8026
0.75, 4.9536
0.80, 5.0928
0.85, 5.1939
0.90, 5.2796
0.95, 5.3272
1.00, 5.3575
1.05, 5.4184
1.10, 5.4946
1.15, 5.5826
1.20, 5.6770
1.25, 5.7543
1.30, 5.8211
1.35, 5.8477
1.40, 5.8474
1.45, 5.8698
1.50, 5.9087
1.55, 5.9609
1.60, 6.0238
1.65, 6.0541
1.70, 6.0560
1.75, 6.0487
1.80, 6.0327
1.85, 6.0102
1.90, 5.9809
1.95, 5.9582
2.00, 5.9432
2.05, 5.9140
2.10, 5.8672
2.15, 5.8438
2.20, 5.8525
2.25, 5.8518
2.30, 5.8369
2.35, 5.8258
2.40, 5.8209
2.45, 5.8088
2.50, 5.7840
2.55, 5.7568
2.60, 5.7248
2.65, 5.6972
2.70, 5.6790
2.75, 5.6657
2.80, 5.6646
2.85, 5.6649
2.90, 5.6691
2.95, 5.6744
3.00, 5.6829
3.05, 5.6917
3.10, 5.7016
3.15, 5.7119
3.20, 5.7239
3.25, 5.7368
3.30, 5.7539
3.35, 5.7712
3.40, 5.7894
3.45, 5.8069
3.50, 5.8198
3.55, 5.8333
3.60, 5.8514
3.65, 5.8683
3.70, 5.8739
3.75, 5.8800
3.80, 5.8943
3.85, 5.9086
3.90, 5.9243
3.95, 5.9400
4.00, 5.9541
40.00, 8.2000
