# Depth (km), Vp (km/s)
0.00, 2.0843
0.05, 2.2403
0.10, 2.4158
0.15, 2.6441
0.20, 2.8806
0.25, 3.0132
0.30, 3.1267
0.35, 3.1190
0.40, 3.0851
0.45, 3.1277
0.50, 3.1894
0.55, 3.3746
0.60, 3.5950
0.65, 3.9011
0.70, 4.2348
0.75, 4.5782
0.80, 4.9250
0.85, 5.1710
0.90, 5.3761
0.95, 5.4161
1.00, 5.3815
1.05, 5.3156
1.10, 5.2339
1.15, 5.1829
1.20, 5.1490
1.25, 5.1359
1.30, 5.1357
1.35, 5.1425
1.40, 5.1541
1.45, 5.1773
1.50, 5.2089
1.55, 5.2561
1.60, 5.3156
1.65, 5.3831
1.70, 5.4574
1.75, 5.5480
1.80, 5.6540
1.85, 5.7212
1.90, 5.7479
1.95, 5.7698
2.00, 5.7863
2.05, 5.8263
2.10, 5.8957
2.15, 5.9519
2.20, 5.9902
2.25, 6.0375
2.30, 6.0982
2.35, 6.1571
2.40, 6.2130
2.45, 6.2464
2.50, 6.2391
2.55, 6.2336
2.60, 6.2314
2.65, 6.2211
2.70, 6.1929
2.75, 6.1541
2.80, 6.0896
2.85, 6.0345
2.90, 6.0057
2.95, 5.9839
3.00, 5.9837
3.05, 5.9845
3.10, 5.9881
3.15, 5.9887
3.20, 5.9769
3.25, 5.9639
3.30, 5.9450
3.35, 5.9236
3.40, 5.8883
3.45, 5.8536
3.50, 5.8232
3.55, 5.7893
3.60, 5.7274
3.65, 5.6705
3.70, 5.6634
3.75, 5.6574
3.80, 5.6674
3.85, 5.6775
3.90, 5.6897
3.95, 5.7019
4.00, 5.7144
40.00, 8.2000
