# Depth (km), Vp (km/s)
0.00, 2.0894
0.05, 2.2200
0.10, 2.3670
0.15, 2.5799
0.20, 2.8029
0.25, 3.0512
0.30, 3.3041
0.35, 3.5501
0.40, 3.7947
0.45, 4.0109
0.50, 4.2200
0.55, 4.3901
0.60, 4.5491
0.65, 4.6712
0.70, 4.7815
0.75, 4.8662
0.80, 4.9417
0.85, 5.0118
0.90, 5.0797
0.95, 5.1529
1.00, 5.2285
1.05, 5.3118
1.10, 5.3990
1.15, 5.4894
1.20, 5.5816
1.25, 5.6722
1.30, 5.7618
1.35, 5.8476
1.40, 5.9308
1.45, 6.0061
1.50, 6.0757
1.55, 6.1317
1.60, 6.1768
1.65, 6.2047
1.70, 6.2175
1.75, 6.2183
1.80, 6.2075
1.85, 6.1695
1.90, 6.1030
1.95, 6.0091
2.00, 5.8840
2.05, 5.7736
2.10, 5.6818
2.15, 5.6478
2.20, 5.6931
2.25, 5.7276
2.30, 5.7462
2.35, 5.7778
2.40, 5.8308
2.45, 5.8719
2.50, 5.8915
2.55, 5.8998
2.60, 5.8858
2.65, 5.8745
2.70, 5.8688
2.75, 5.8608
2.80, 5.8467
2.85, 5.8332
2.90, 5.8209
2.95, 5.8135
3.00, 5.8216
3.05, 5.8286
3.10, 5.8318
3.15, 5.8346
3.20, 5.8364
3.25, 5.8387
3.30, 5.8432
3.35, 5.8491
3.40, 5.8624
3.45, 5.8739
3.50, 5.8742
3.55, 5.8746
3.60, 5.8771
3.65, 5.8795
3.70, 5.8811
3.75, 5.8835
3.80, 5.8971
3.85, 5.9107
3.90, 5.9259
3.95, 5.9410
4.00, 5.9546
40.00, 8.2000
