event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag,time,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km
1,12.3,23.6,-33.9,A,25.1,19.6,36,36,0.0,88.6,62.1,-32.1,False,2015-03-30 19:30:17,45.93739,-129.980453,1.436,0.3,0.2
10,213.5,31.1,-52.1,B,25.7,26.3,42,42,7.4,87.2,48.7,-71.1,False,2015-03-24 19:43:33,45.941235,-130.011272,0.448,0.3,0.2
2,196.8,50.5,-153.8,A,20.0,20.2,36,36,0.0,94.3,57.1,-47.8,False,2015-03-21 07:26:57,45.946564,-129.991608,0.4685,0.3,0.2
3,200.3,56.6,-156.1,A,15.9,17.8,36,36,0.0,97.9,54.1,-61.0,False,2015-03-23 18:46:46,45.947126,-129.992414,0.431666666666667,0.3,0.2
4,108.6,42.6,116.3,D,25.7,27.6,36,36,43.8,75.8,12.3,-294.7,False,2015-03-31 04:48:02,45.941886,-130.019936,0.91,0.3,0.2
5,135.6,86.5,-126.0,A,15.2,25.3,36,36,0.0,88.2,64.2,-48.1,False,2015-03-12 16:08:29,45.933801,-129.978424,1.48933333333333,0.3,0.2
6,110.4,74.6,160.1,B,8.5,12.6,42,42,0.0,100.0,43.7,-88.1,False,2015-03-19 21:31:31,45.935487,-130.019259,1.24728571428571,0.3,0.2
7,212.8,43.8,-34.5,A,15.4,16.7,36,36,0.7,98.5,50.3,-76.2,False,2015-03-30 04:05:55,45.940589,-130.020276,1.11566666666667,0.3,0.2
8,0.1,58.6,-118.5,B,26.0,26.4,36,36,8.2,84.6,47.5,-71.8,False,2015-03-28 04:09:04,45.941081,-130.011248,0.450333333333333,0.3,0.2
9,222.7,67.3,-149.9,A,19.9,23.0,42,42,0.0,85.8,60.3,-46.2,False,2015-03-23 21:43:54,45.942314,-129.989242,0.530428571428572,0.3,0.2
