event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag,time,magnitude,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km
100,172.0,28.7,-52.1,D,34.3,30.9,41,36,7.9,48.4,61.4,-45.7,False,2015-03-30 19:30:17,1.0,45.937333,-129.9805,1.44,0.3,0.2
101,50.2,48.1,-105.9,B,29.0,33.5,36,35,7.6,69.2,62.1,-40.5,False,2015-03-21 07:26:57,1.0,45.946667,-129.991667,0.5,0.3,0.2
102,36.2,53.5,-134.0,C,33.7,32.6,36,36,21.7,68.3,63.5,-45.0,False,2015-03-23 18:46:46,1.0,45.947167,-129.992333,0.5,0.3,0.2
103,136.9,37.9,-127.6,C,20.6,21.5,36,36,0.0,100.0,38.6,-110.9,False,2015-03-31 04:48:02,1.0,45.941833,-130.019833,0.91,0.3,0.2
104,303.3,82.7,-116.2,A,11.3,17.9,41,36,0.0,100.0,63.0,-34.7,False,2015-03-12 16:08:29,1.0,45.933833,-129.978333,1.49,0.3,0.2
105,297.6,38.4,-156.4,D,26.8,21.1,43,42,3.4,90.6,27.4,-130.3,False,2015-03-19 21:31:31,1.0,45.9355,-130.019333,1.25,0.3,0.2
106,149.7,42.0,-113.7,B,16.6,15.3,36,36,1.1,100.0,43.5,-84.8,False,2015-03-30 04:05:55,1.0,45.940667,-130.020333,1.12,0.3,0.2
107,13.5,36.7,-176.8,D,31.3,51.2,38,36,34.4,53.5,47.5,-100.6,False,2015-03-28 04:09:04,1.0,45.941167,-130.011167,0.5,0.3,0.2
108,38.9,87.2,166.4,C,31.8,47.3,46,41,16.0,63.3,54.3,-57.2,False,2015-03-23 21:43:54,1.0,45.942333,-129.989167,0.53,0.3,0.2
109,26.5,47.4,-87.5,D,24.9,46.1,42,38,76.4,57.0,48.9,-80.4,False,2015-03-24 19:43:33,1.0,45.941167,-130.011333,0.5,0.3,0.2
