ID YR MO DY HR MIN SEC latitude longitude DEPTH rms nPh Gap
224400000 2022 9 1 9 35 49.915987 45.949189 -129.993829 0.4775 0.0194596 12 150.062
224500001 2022 9 2 3 14 53.078023 45.938529 -130.001153 0.21875 0.486059 12 99.3828
224500002 2022 9 2 6 12 32.079266 45.952433 -129.995284 0.50625 0.0238378 11 181.394
224500004 2022 9 2 7 57 59.247507 45.929259 -129.985591 0.62125 0.0228849 10 170.707
224600000 2022 9 3 15 50 47.264323 45.925087 -129.995822 -0.3275 0.301765 12 217.288
224600001 2022 9 3 17 24 36.586338 45.929259 -129.986564 0.56375 0.03341 10 175.454
224600002 2022 9 3 22 38 29.903068 45.925087 -129.986086 1.1675 0.0312323 11 210.546
224700000 2022 9 4 3 12 11.901833 45.923233 -129.978301 -0.3275 0.349115 12 282.229
224700001 2022 9 4 10 45 30.097392 45.925087 -130.003611 -0.4425 0.289786 14 231.998
224900009 2022 9 6 12 29 29.417433 45.92277 -129.993393 1.08125 0.0933476 24 104.01
224900013 2022 9 6 16 29 24.1637 45.995539 -130.017137 -0.3275 0.3384 7 289.279
224900021 2022 9 6 21 2 9.517233 45.994149 -130.0264 1.25375 0.119405 17 110.092
224900022 2022 9 6 22 7 0.973361 45.995539 -130.026885 0.8225 0.209597 22 114.298
225000003 2022 9 7 1 2 1.269995 45.92555 -129.995335 1.59875 0.210395 16 109.206
225000004 2022 9 7 1 4 23.509113 45.92555 -129.993387 1.54125 0.073188 15 112.003
225000010 2022 9 7 4 33 55.201405 45.986733 -130.054676 -0.06875 0.457462 11 247.804
225000022 2022 9 7 6 45 18.054528 45.995539 -130.026885 0.8225 0.234108 14 114.298
225000025 2022 9 7 8 31 49.359346 45.907706 -129.971765 0.003125 0.499776 18 199.995
225000036 2022 9 7 11 23 50.388619 45.992294 -130.019579 1.77125 0.285369 12 188.13
225000037 2022 9 7 11 27 5.444404 45.980244 -130.000104 1.36875 0.0747939 11 96.3494
225000041 2022 9 7 12 28 6.959515 45.988123 -129.995704 1.5125 0.42395 9 224.289
225000042 2022 9 7 13 44 10.785025 45.921843 -129.9895 1.42625 0.172299 16 145.773
225100011 2022 9 8 8 33 35.01304 45.937601 -130.024527 0.96625 0.408101 10 216.307
225100012 2022 9 8 8 41 54.047809 45.90701 -129.999263 0.73625 0.458403 10 181.068
225100018 2022 9 8 12 21 47.761214 46.004345 -130.025411 1.88625 0.300974 13 177.21
225100035 2022 9 8 21 43 41.858132 45.963558 -130.01962 0.79375 0.441189 10 167.807
225100036 2022 9 8 22 46 29.083059 45.920915 -129.987555 1.02375 0.264178 22 91.2559
225200005 2022 9 9 8 44 37.987764 45.979317 -130.041038 1.25375 0.198214 26 153.766
225200006 2022 9 9 9 13 40.545152 45.993222 -130.004955 0.96625 0.27014 11 92.7365
225200008 2022 9 9 11 52 49.202763 45.92277 -129.990472 1.36875 0.0779608 20 136.354
225200009 2022 9 9 11 53 9.582744 45.928795 -129.993868 -0.2125 0.119757 11 95.8251
225200010 2022 9 9 11 53 23.778871 45.923233 -129.995826 1.6275 0.120903 12 120.688
225200011 2022 9 9 11 53 28.075974 45.92555 -129.997282 1.02375 0.110677 11 149.895
225200012 2022 9 9 11 53 55.992466 45.921379 -129.995829 0.8225 0.241916 9 180.919
225200017 2022 9 9 12 10 24.035806 45.92277 -129.994366 1.19625 0.0974497 25 68.6303
225200018 2022 9 9 12 10 35.06381 45.984879 -130.04883 0.56375 0.495236 8 224.289
225200019 2022 9 9 12 12 42.498466 45.986269 -130.048341 0.4775 0.409884 9 215.88
225200022 2022 9 9 12 17 44.45867 45.970047 -130.060536 0.56375 0.482704 10 208.95
225200024 2022 9 9 12 23 41.530081 45.947799 -130.036202 1.13875 0.418917 10 146.275
225200025 2022 9 9 12 39 44.706498 45.914427 -130.021638 0.33375 0.387991 11 200.033
225200026 2022 9 9 12 39 55.249347 45.915354 -130.023584 -0.47125 0.439479 8 202.672
225200031 2022 9 9 15 16 4.545105 46.003419 -130.031263 1.36875 0.247165 12 189.449
225200040 2022 9 9 18 52 55.928389 45.938065 -130.040595 4.0425 0.332966 12 223.51
225200042 2022 9 9 18 54 0.502795 45.936675 -130.02745 0.33375 0.211194 14 226.126
225200054 2022 9 9 21 53 54.9619 45.95058 -130.066395 0.73625 0.303796 17 226.772
225200056 2022 9 9 22 31 7.975141 45.99044 -130.02738 1.48375 0.391957 16 89.2832
225200058 2022 9 9 23 27 48.878368 45.95058 -130.041069 1.19625 0.37713 20 193.263
225200060 2022 9 9 23 28 47.865455 45.956605 -130.036679 1.8575 0.224336 11 124.65
225200061 2022 9 9 23 37 23.82031 45.973754 -130.066381 0.04625 0.469519 11 263.376
225300000 2022 9 10 0 4 45.828862 45.96518 -129.998914 1.49813 0.143549 36 48.9935
225300001 2022 9 10 0 5 39.654828 45.964485 -129.999158 1.48375 0.103345 22 50.2306
225300002 2022 9 10 0 5 45.810691 45.971437 -129.972349 0.2475 0.298909 19 159.014
225300003 2022 9 10 0 6 5.70003 45.964021 -129.997698 1.3975 0.138363 12 130.151
225300005 2022 9 10 0 40 19.249831 45.997857 -130.030295 1.36875 0.159177 13 140.491
225300008 2022 9 10 3 53 51.389508 45.956142 -129.994303 1.08125 0.392805 10 226.365
225300020 2022 9 10 7 38 53.204032 45.954751 -130.009405 -0.2125 0.408888 12 173.635
225300024 2022 9 10 7 52 4.776992 45.899826 -130.007791 0.003125 0.48492 8 280.343
225300025 2022 9 10 7 58 25.359554 45.949189 -130.099026 2.5475 0.440888 8 275.577
225300026 2022 9 10 8 10 23.093562 45.906547 -129.984178 -0.0975 0.443072 11 166.206
225300027 2022 9 10 8 17 56.948629 45.899131 -130.00171 0.4775 0.41214 10 251.766
225300028 2022 9 10 8 52 9.945071 45.934357 -129.993857 0.3625 0.478147 9 242.545
225300033 2022 9 10 12 20 2.16732 45.995075 -130.019575 1.08125 0.321995 11 74.5245
225300034 2022 9 10 12 20 7.844313 45.99693 -130.023471 0.90875 0.359456 10 96.2125
225300040 2022 9 10 15 6 55.463198 45.913963 -129.980268 0.3625 0.311871 10 223.752
225300042 2022 9 10 15 25 37.132068 45.965875 -129.991848 1.2825 0.448365 12 104.025
225300047 2022 9 10 18 14 14.655629 46.003419 -130.027363 1.42625 0.220622 10 178.939
225300048 2022 9 10 18 18 55.526475 45.99971 -130.029317 1.59875 0.150971 14 132.195
225400002 2022 9 11 1 59 32.888075 45.99693 -130.025421 1.71375 0.29083 13 81.3357
225400003 2022 9 11 3 17 45.280115 45.926478 -129.988517 1.25375 0.0993002 26 110.693
225400005 2022 9 11 3 34 33.658098 45.913963 -129.986109 1.3975 0.473765 8 192.618
225400006 2022 9 11 3 44 27.126428 45.91628 -129.998273 1.08125 0.161098 32 145.426
225400010 2022 9 11 4 48 49.542945 46.004345 -130.025411 1.65625 0.271816 11 177.21
225400011 2022 9 11 4 52 5.62692 46.025666 -130.012702 -0.18375 0.425351 9 287.354
225400012 2022 9 11 4 59 1.86999 46.009908 -130.031254 1.31125 0.239639 12 212.992
225400013 2022 9 11 5 40 56.270674 45.919061 -129.984638 1.59875 0.202954 12 185.191
225400017 2022 9 11 8 59 54.675549 46.021495 -130.001493 0.9375 0.375859 9 278.396
225400018 2022 9 11 9 0 44.463737 46.014079 -130.013208 -0.3275 0.497455 8 211.626
225400021 2022 9 11 9 40 13.191738 45.954751 -130.009405 1.2825 0.352775 9 154.892
225400025 2022 9 11 11 22 1.447053 45.92277 -129.997287 2.40375 0.124385 16 67.5239
225400033 2022 9 11 13 31 26.764381 45.986733 -130.023486 0.21875 0.476509 12 184.533
225400035 2022 9 11 13 37 56.312689 45.998784 -130.016644 1.65625 0.216375 17 98.9309
225400040 2022 9 11 14 18 14.943379 45.99971 -130.026392 1.36875 0.207471 19 101.938
225400042 2022 9 11 15 49 44.784072 45.884299 -130.073732 -0.4425 0.265235 9 328.326
225400043 2022 9 11 16 47 2.54646 45.958922 -130.00404 0.39125 0.280171 12 80.9912
225400044 2022 9 11 16 47 5.623788 45.958459 -129.999657 0.9375 0.335971 13 92.8807
225400046 2022 9 11 16 52 53.265858 45.951507 -129.986519 0.67875 0.46547 21 75.4131
225400047 2022 9 11 16 52 58.660359 45.956142 -129.99138 1.08125 0.330872 14 69.6812
225400048 2022 9 11 16 53 2.98878 45.966338 -129.997206 1.77125 0.269285 11 119.903
225400049 2022 9 11 16 55 24.615909 45.956605 -129.978228 1.3975 0.311478 12 101.21
225400050 2022 9 11 16 58 33.102382 45.955215 -129.971899 1.48375 0.33437 12 108.219
225400051 2022 9 11 16 58 38.876438 45.957996 -129.971893 1.31125 0.367238 14 98.3871
225400052 2022 9 11 18 11 9.309708 45.952433 -129.991388 1.82875 0.0687893 16 70.8174
225400056 2022 9 11 20 34 16.357931 45.953361 -129.987489 1.54125 0.17499 11 115.019
225400057 2022 9 11 20 47 36.694389 45.902839 -129.978346 -0.4425 0.437253 11 275.824
225400059 2022 9 11 23 44 25.072757 46.002492 -130.026389 1.54125 0.173998 13 172.867
225400060 2022 9 11 23 45 56.847034 45.923233 -129.988037 1.1675 0.0986286 16 139.935
225500000 2022 9 12 2 36 31.632699 45.960777 -129.991371 1.42625 0.0729719 15 104.063
225500001 2022 9 12 2 44 5.148807 45.958922 -129.991375 1.54125 0.0756397 14 92.2562
225500002 2022 9 12 3 53 56.989982 45.99971 -130.002994 0.90875 0.445248 15 138.589
225500003 2022 9 12 3 54 5.387792 45.997857 -130.001047 0.90875 0.413278 13 138.679
225500004 2022 9 12 3 54 10.924516 45.99693 -129.999099 0.90875 0.367122 10 143.445
